parameter,value,conditional_standard_uncertainty
C6_U_basis_2,0.07524611011362428,0.014584191823747615
C6_U_basis_3,0.13730650296750316,0.014466704020592986
C6_U_basis_4,-0.08775268064046221,0.012020819484576247
C6_U_basis_5,0.0025361446965227567,0.011070657484581872
C6_U_basis_6,-0.018029485093845006,0.014592831417530674
C7_position_dof_1,0.01795657269734187,0.014512572806807438
C7_position_dof_2,0.002093412095378597,0.014846807481203813
C7_position_dof_3,0.0029434930819962767,0.01385969957320081
C7_U_basis_1,-0.07255487090636295,0.01035758958706938
C7_U_basis_2,0.03141049787697997,0.011705741911226903
C7_U_basis_3,0.08298846037566257,0.011569690306237853
C7_U_basis_4,-0.07059402848951118,0.008787556061208242
C7_U_basis_5,-0.009929293270817591,0.01170234638890089
C7_U_basis_6,-0.014820629330330248,0.0111120722467683
C8_position_dof_1,0.004504763806761281,0.015901704674817958
C8_position_dof_2,-0.004771274309204008,0.013825316411080158
C8_position_dof_3,-0.00931850736947775,0.013619937374048766
C8_U_basis_1,-0.058317149105584554,0.007894865036921338
C8_U_basis_2,0.07977261075863229,0.014722318394946933
C8_U_basis_3,0.15072693407568538,0.015351392232972652
C8_U_basis_4,-0.09096096221290129,0.01194541998731058
C8_U_basis_5,-0.0001487699748503599,0.01109259005268668
C8_U_basis_6,-0.028068862764571958,0.014676814158556623
C9_position_dof_1,0.02189724988273083,0.016383576814304086
C9_position_dof_2,-0.011620617567510472,0.014365208441584244
C9_position_dof_3,0.017534901336827502,0.011354273893458708
C9_U_basis_1,-0.0628294397108961,0.010161473676237091
C9_U_basis_2,0.08932790411902088,0.01624392884416689
C9_U_basis_3,0.18556593610066185,0.01731893255520298
C9_U_basis_4,-0.08793271703910124,0.011711903486446192
C9_U_basis_5,0.014814907802899178,0.010911384630645508
C9_U_basis_6,0.011276656333511196,0.013935921091977228
C10_position_dof_1,0.048091904255638536,0.016288514579750602
C10_position_dof_2,0.020620779895083048,0.0148801486118188
C10_position_dof_3,0.004445962989484209,0.014944652559291227
C10_U_basis_1,-0.08259131694005496,0.011811086261967566
C10_U_basis_2,0.046663891909483834,0.01429288570086067
C10_U_basis_3,0.11371388767303124,0.014090373658962712
C10_U_basis_4,-0.08760553581865006,0.012158790410275908
C10_U_basis_5,-0.011422746617566402,0.012148667148507382
C10_U_basis_6,-0.05681343491678614,0.013020324365340126
C11_position_dof_1,-0.0026096286835615694,0.01958287921242094
C11_position_dof_2,0.016519272268590412,0.023247049336898744
C11_U_basis_1,0.18028581550591616,0.021734975577284703
C11_U_basis_2,-0.003676152023659173,0.014406965851643081
C11_U_basis_3,0.021342669312542605,0.02274505433705957
C11_U_basis_4,-0.06727918152636862,0.015481517318682244
C12_position_dof_1,0.013230433047565581,0.015228409376238908
C12_position_dof_2,-0.019013302959915213,0.014273971310798213
C12_position_dof_3,0.00832691842566461,0.013517620871904949
C12_U_basis_1,-0.05297943620631785,0.00945891443405009
C12_U_basis_2,0.015269491661379744,0.01164471910302944
C12_U_basis_3,0.09327080630271634,0.012778267167344407
C12_U_basis_4,-0.05521690831452511,0.008209338177947107
C12_U_basis_5,-0.005437866263588268,0.010401134948214805
C12_U_basis_6,0.00842921921190994,0.010091703867192959
log_intensity_scale,-6.514119149907268,0.01136502693990736
