parameter,value,conditional_standard_uncertainty
C9_position_dof_3,-0.0033395489489135032,0.01014595682527941
C9_U_basis_1,-0.08554355026247083,0.009906484403666826
C9_U_basis_2,0.0954633408418707,0.015424480150065244
C9_U_basis_3,0.22742153610597549,0.016541955064850126
C9_U_basis_4,-0.12386852756611015,0.011539711806298028
C9_U_basis_5,0.001626950722321781,0.010419587957717387
C9_U_basis_6,0.014797480589282794,0.012998960981906168
C10_position_dof_1,-0.0015474383297720564,0.015304651943624072
C10_position_dof_2,-0.035649352260589864,0.014059148778122197
C10_position_dof_3,-0.007961145842563149,0.014104824355855305
C10_U_basis_1,-0.11787055430380382,0.012124806523017019
C10_U_basis_2,0.05638194178410881,0.014579770340905468
C10_U_basis_3,0.16042522585396884,0.014704579167608152
C10_U_basis_4,-0.12257773796049627,0.01232830271840838
C10_U_basis_5,-0.01547409740339187,0.012271690778429456
C10_U_basis_6,-0.0791421828108688,0.01321733971667582
C11_position_dof_1,-0.013695136184330672,0.018044540689496028
C11_position_dof_2,0.004132964329066906,0.021725572664094164
C11_U_basis_1,0.24884547339478208,0.022223415154966716
C11_U_basis_2,-0.014600715018507104,0.013570109499821724
C11_U_basis_3,0.051127525028985585,0.02310944210689012
C11_U_basis_4,-0.10276223731362291,0.015589787031685254
C12_position_dof_1,0.006644934481585532,0.014625901258763665
C12_position_dof_2,0.011361588237943525,0.013663809519120555
C12_position_dof_3,-0.012427462703723581,0.013091703404888117
C12_U_basis_1,-0.08819983109799273,0.010322957452025364
C12_U_basis_2,0.014706784097024313,0.01183804825740836
C12_U_basis_3,0.13442158756788194,0.013291397826393719
C12_U_basis_4,-0.07370283717607752,0.007905527382929552
C12_U_basis_5,-0.0035967205872994928,0.010486682048442119
C12_U_basis_6,-0.0013667132947019396,0.01034095909087085
Zr_effective_real_scattering_offset,-9.559367831421039,0.22915376311908328
log_intensity_scale,-6.016428453192056,0.016161811591740658
