h,k,l,heldout_fold,Fo2,sigma,heldout_predicted_Fc2
0,7,1,3,5.174483202,2.915458233,3.416201304
0,7,2,3,51.38148942,5.92505011,43.86156868
0,7,3,4,12.76512442,3.846985205,18.69782316
0,7,4,3,13.60154346,4.652928016,6.984231076
0,7,5,4,46.7541006,5.799074296,32.93537141
0,7,7,2,1.539506001,2.549875569,8.645503174
0,7,8,0,23.87174428,6.122990945,28.71992917
1,0,1,4,1088.747741,20.24107049,1336.399859
1,0,2,4,160.9181097,8.192611561,236.5225014
1,0,3,4,1003.959826,16.22485369,1158.167029
1,0,4,3,123.1984553,3.341980684,229.4598311
1,0,5,3,1.214866701,0.9985785055,0.7375849173
1,0,6,4,635.9391914,13.21814385,448.2460778
1,0,7,0,40.55354755,1.983972346,56.77420665
1,0,8,0,64.49998538,2.111116148,40.17489885
1,0,9,0,30.38839597,1.586341658,38.57046349
1,0,10,3,149.1185681,4.139781237,117.1483412
1,0,11,1,82.37802285,3.131471955,79.46895076
1,0,12,0,74.8151231,3.633862552,74.8342981
1,0,13,1,18.75754188,2.058342819,17.76546418
1,0,14,4,36.76989493,3.342879519,13.68498642
1,0,15,1,69.57297376,4.555671544,68.32757042
1,0,16,2,1.441004865,1.732301377,1.482638986
1,1,0,2,100.4418117,5.104371313,130.7308632
1,1,1,4,194.1459398,3.716227181,306.8830553
1,1,2,0,157.1443291,3.294309345,153.8842391
1,1,3,2,1524.152466,18.19747749,1930.543664
1,1,4,0,215.6886266,3.329666962,139.2666517
1,1,5,3,589.0763974,7.195849452,459.6962808
1,1,6,0,23.73215555,2.664861921,35.85728875
1,1,7,3,418.8147792,5.401883547,508.8905107
1,1,8,4,281.5384245,3.88866661,223.899458
1,1,9,2,279.0081858,4.073382101,256.5124175
1,1,10,2,148.3303272,2.736337111,130.7119086
1,1,11,4,15.37515615,1.009216422,12.70561375
1,1,12,0,3.657140347,0.8559073489,2.541428367
1,1,13,4,126.4147232,3.677884235,125.3089911
1,1,14,0,22.03939639,1.882035995,20.30749643
1,1,15,2,58.52411875,3.974127065,40.48844724
1,1,16,4,39.05585438,6.9037446,36.4267482
1,2,0,2,2.49876803,0.9260079231,0.002010600293
1,2,1,3,90.24906566,2.500597714,34.77179446
1,2,2,1,401.9740742,6.733007292,534.8388533
1,2,3,2,706.4663833,10.50697941,551.7892796
1,2,4,4,225.7384101,3.812118308,173.5446992
1,2,5,0,562.132485,8.732980481,523.5658082
1,2,6,1,20.46500017,2.083747523,22.57459859
1,2,7,0,129.6273252,3.054520524,131.8019487
1,2,8,4,4.178514643,0.9436196022,1.761038974
1,2,9,1,313.8961947,4.969671538,304.2418297
1,2,10,3,9.293801096,1.101887956,12.2414534
1,2,11,4,9.531738091,1.49400404,12.97551634
1,2,12,2,31.88522662,2.069642465,22.03126221
1,2,13,2,75.31224123,3.771006673,56.78316206
1,2,14,4,55.12244974,4.947335185,72.59897272
1,2,15,2,11.41776643,3.673573595,25.16022299
1,3,0,3,311.761547,9.440074226,222.054256
1,3,1,2,451.9491564,10.98273363,436.2520465
1,3,2,4,67.95017322,2.498998816,39.67399363
1,3,3,3,560.0620391,9.512059389,546.7533911
1,3,4,3,116.7278201,3.629348779,70.43702056
1,3,5,0,32.17641828,1.649279496,32.97587354
1,3,6,4,70.53392079,2.067206902,44.72388475
1,3,7,1,200.7930111,3.747541912,177.5049468
1,3,8,3,50.85359158,1.679531496,41.70092223
1,3,9,2,422.4908209,8.807288274,380.8468739
1,3,10,4,36.06671887,2.767494375,38.49623582
1,3,11,3,54.76916098,2.638007409,60.20297091
1,3,12,1,60.31884786,3.174662145,67.91788498
1,3,13,4,76.97053362,4.985688936,57.56445779
1,3,14,2,29.49768342,3.045762085,34.1224994
1,3,15,0,3.706045682,3.151298242,2.132993114
1,4,0,2,5.743880203,2.431839174,1.114129213
1,4,1,3,173.2524459,4.819217116,165.3711971
1,4,2,3,38.00866839,1.881973392,21.5805754
1,4,3,0,169.1466738,4.199186029,179.1273505
1,4,4,0,23.59047571,1.581521756,17.57132864
1,4,5,3,61.9172098,2.074317425,48.55747065
1,4,6,4,41.71075284,1.588298339,27.46941899
1,4,7,0,317.4559991,7.534123835,281.5121295
1,4,8,2,48.69113281,2.300416027,45.25824074
1,4,9,4,4.117621419,0.9781219345,2.059140505
1,4,10,2,32.25679726,2.429358769,29.14244627
1,4,11,0,264.4262867,8.454549117,265.0795346
1,4,12,2,42.70354505,2.949913948,52.84553834
1,4,13,2,32.18512498,3.417552475,47.05072173
1,4,14,0,36.96113363,6.963145123,32.95916229
1,5,0,0,17.38403802,3.844724298,8.698662675
1,5,1,3,147.6552801,4.174638399,117.9757349
1,5,2,4,99.27588401,3.396537249,86.03772453
1,5,3,3,395.8263148,11.43940254,382.374277
1,5,4,4,9.783694072,2.029844721,9.910969967
1,5,5,2,38.27382677,4.206420531,47.37022329
1,5,6,1,67.91298614,3.367773715,67.78052113
1,5,7,3,153.1931565,5.244178491,144.7017625
1,5,8,2,0.04608793675,0.9009045972,0.06770542633
1,5,9,4,66.15630448,3.433082545,96.36898616
1,5,10,2,10.73658661,2.546224732,15.37445127
1,5,11,2,56.18481166,5.349134728,58.34254268
1,5,12,2,16.90595625,3.511949283,19.62982559
1,5,13,1,7.951641762,4.633164443,33.30964968
1,6,0,0,29.575964,7.325599021,40.04040381
1,6,1,4,136.2281844,6.126535175,111.1871928
1,6,2,1,97.43558244,5.278192119,99.5425869
1,6,3,0,65.89580981,4.295786234,64.59626225
1,6,4,3,70.42145376,4.730295998,58.24226721
1,6,5,4,108.1221301,5.64498954,112.3536183
1,6,6,0,12.08792066,2.425662531,19.18082374
1,6,7,1,53.08853785,3.235166672,60.5362857
1,6,8,3,49.33167452,3.533009175,42.12670368
1,6,9,0,2.601935837,1.452072835,0.2712645482
1,6,10,0,0.2051170517,1.765984946,1.439835541
1,6,11,0,15.9076145,4.934062987,29.28432381
1,7,0,2,155.4097594,11.20056881,188.0637548
1,7,1,1,50.55505389,4.225747638,44.94046586
1,7,2,0,14.45065703,2.888468582,14.70771394
1,7,3,4,33.7603235,4.758681481,20.08838699
1,7,4,2,57.41983294,4.616116266,65.62497085
1,7,5,4,49.25920842,4.350001124,43.07761386
1,7,7,3,16.43148089,3.756710445,6.676225902
1,7,8,1,2.614528828,2.107788818,0.0659976208
1,7,9,1,47.45496599,5.575163721,48.3297808
2,0,0,3,4360.744051,125.026193,4461.649976
2,0,1,2,738.1507093,12.85402692,501.2109807
2,0,2,3,264.8461816,6.007787672,187.8203768
2,0,3,2,74.60827079,2.181759811,41.27521843
2,0,4,2,239.533004,4.120642489,226.3255989
2,0,5,2,742.593066,11.86988937,557.3546498
2,0,6,2,118.717674,3.213194483,66.90289335
2,0,7,0,8.682502223,1.070568874,5.04024957
2,0,8,1,121.2184134,3.391502649,156.0532241
2,0,9,3,28.70024593,1.69647231,32.73199934
2,0,10,2,52.8075398,3.036659628,45.64552425
2,0,11,3,92.81915224,3.324835484,98.72674114
2,0,12,1,28.18507467,2.240882204,15.40619721
2,0,13,4,14.31570662,4.238986624,19.29301658
2,0,14,3,18.53462157,3.378587969,12.33410761
2,0,15,3,156.7798436,8.739327598,182.7919579
2,1,0,0,4744.967792,77.58918598,4542.271319
2,1,1,1,80.6026269,1.356322319,163.0830721
2,1,2,0,837.2668777,10.35529626,762.6756293
2,1,3,2,245.4032952,3.473013866,225.9768244
2,1,4,4,1435.808389,16.68069658,1365.49333
2,1,5,2,20.44454035,1.868240322,20.74434939
2,1,6,2,275.7761958,4.162768414,337.3610109
2,1,7,0,191.8653042,3.485892779,159.7496518
2,1,8,3,9.969587373,0.6586870511,10.22087118
2,1,9,3,74.00037411,1.831395971,73.39576176
2,1,10,1,61.77365656,1.852036717,57.98595873
2,1,11,1,108.5285366,3.121582425,98.59649763
2,1,12,1,109.1659636,3.426060394,95.6280886
2,1,13,2,112.4679037,4.027226222,136.8983862
2,1,14,2,53.47340581,4.796172663,59.7237101
2,1,15,2,22.17498822,2.468547922,29.89517761
2,2,0,1,2.330247068,0.7340838184,15.39534887
2,2,1,2,427.5748719,6.311324602,343.8435886
2,2,2,3,1486.153285,22.00157801,1308.692871
2,2,3,2,148.8598444,3.28299053,94.03878578
2,2,4,4,120.6252227,2.79354193,112.6124775
2,2,5,1,7.14122246,0.9798882198,7.31771976
2,2,6,1,360.5346546,5.557574725,347.5368336
2,2,7,3,147.3506208,3.05939527,140.3012206
2,2,8,1,174.3481245,4.125394109,162.4682607
2,2,9,3,141.7981061,3.073952811,131.0734261
2,2,10,4,5.759004314,1.266314844,5.267516713
2,2,11,1,69.59610814,3.787341591,82.10363488
2,2,12,2,68.01818711,3.954665218,75.18936911
2,2,13,3,72.6997582,4.22021513,72.30360186
2,2,14,4,23.87609634,2.745796882,24.99445589
2,2,15,2,22.21590045,5.209404017,34.49113056
2,3,0,1,0.2642696257,1.016873515,6.899263208
2,3,1,1,259.7191767,5.860806809,191.1886272
2,3,2,4,335.417454,7.088187554,316.0754275
2,3,3,2,314.378693,5.777696526,280.3388565
2,3,4,1,93.95715778,2.308593325,107.7011646
2,3,5,0,370.8402079,7.482960589,344.5368215
2,3,6,0,742.3228354,9.790078494,758.3799345
2,3,7,2,11.02118533,1.104815528,12.47105265
2,3,8,1,98.83138714,2.816448675,100.9377822
2,3,9,2,63.07127319,3.019973415,57.78709117
2,3,10,2,267.7184044,6.615495501,275.7033963
2,3,11,0,38.20850946,2.472213952,44.98315133
2,3,12,3,89.44764857,4.258278335,94.37696765
2,3,13,2,13.86569614,4.62862885,8.306548506
2,3,14,3,9.496559409,3.898145476,14.91524775
2,3,15,0,8.28516331,3.665688758,9.421547404
2,4,0,0,24.26033358,3.863662781,53.26598412
2,4,1,4,297.201636,6.16895507,284.7055207
2,4,2,1,5.15693486,1.066229938,9.073417969
2,4,3,1,107.2568998,3.206321082,93.80178757
2,4,4,2,230.0530673,5.24555544,213.0149904
2,4,5,2,175.7321885,4.128371143,145.7311739
2,4,6,2,29.55615566,1.510936634,20.39849503
2,4,7,4,183.3523706,6.269037904,210.9557558
2,4,8,3,161.093249,6.83366427,173.4967127
2,4,9,1,7.468275139,1.528968519,10.12854598
2,4,10,2,48.07367864,3.234982695,37.32218943
2,4,11,0,22.03382589,3.098022504,32.55059742
2,4,12,2,29.9622576,2.640134984,33.91104455
2,4,13,1,-0.163896528,3.114434459,0.6760129678
2,4,14,1,-0.6457495757,2.917419091,16.07792112
2,5,0,2,338.9056437,14.40551545,342.4495976
2,5,1,1,181.6190325,4.750067142,174.6326143
2,5,2,0,6.770566724,1.258581674,9.191824502
2,5,3,3,267.604172,8.763195474,263.5253652
2,5,4,0,86.44544623,4.539067113,82.78402006
2,5,5,4,47.2502087,3.603945791,60.13950465
2,5,6,0,4.681562772,1.486759033,7.115139716
2,5,7,4,13.22310468,3.192884675,24.90551133
2,5,8,2,23.42631885,3.486091687,18.19863149
2,5,9,4,23.12784917,3.047258404,30.76954163
2,5,10,1,2.033087687,1.377205938,0.08727783883
2,5,11,4,6.13478209,2.523466218,1.709204651
2,5,12,2,78.83465176,10.03854454,76.35766384
2,5,13,0,-1.413757686,2.085723098,0.3006944883
2,6,0,1,5.421423074,2.819058302,1.613168755
2,6,1,0,115.4637841,5.665154106,132.1969496
2,6,2,1,171.1876443,7.132268359,144.4332639
2,6,3,3,4.141327136,1.889773621,3.557381193
2,6,4,3,6.31119109,1.912154152,4.614846226
2,6,5,0,41.65682018,3.499483408,51.02350127
2,6,6,0,10.32854047,1.826247636,10.23735413
2,6,7,0,12.55055583,2.579743642,15.29765042
2,6,8,3,30.37968789,3.431459524,26.1972975
2,6,9,3,9.024801573,4.061033797,3.436887056
2,6,10,4,81.78827953,10.65809389,69.8371701
2,6,11,2,0.1033290817,3.196458495,8.547962608
2,7,0,2,16.94332184,3.789856609,17.99254382
2,7,1,3,2.33142457,3.550587592,1.95219721
2,7,2,1,21.67201229,3.032735783,23.82402629
2,7,3,2,19.6723378,5.043499976,26.66158869
2,7,4,4,9.015857004,2.288258323,12.08061552
2,7,6,3,130.484373,13.74865831,123.3132564
3,0,1,3,122.841757,3.176171841,248.2554014
3,0,2,3,206.2656404,3.317900027,232.1080876
3,0,3,2,287.0160932,6.034537278,434.8428849
3,0,4,0,956.1283126,16.0176022,911.2858839
3,0,5,4,101.9065028,2.297034418,57.16186049
3,0,6,0,353.8512335,7.784904326,321.2880037
3,0,7,1,24.34388732,2.122777574,33.18272066
3,0,8,2,59.35070753,2.481171517,56.01855542
3,0,9,1,162.1942871,4.59873694,153.84766
3,0,10,3,46.64083591,2.208964393,56.42064851
3,0,11,1,67.41660751,5.382031219,66.89684487
3,0,12,1,124.9159645,5.165944418,127.2878702
3,0,13,1,141.5161841,7.389767537,130.3466214
3,0,14,0,22.14850601,3.266357125,8.257533544
3,0,15,3,65.48613537,9.365926025,53.99009652
3,1,0,4,47.22145815,1.173252253,73.06350536
3,1,1,2,404.583941,5.223317217,346.7004148
3,1,2,3,300.0273193,4.288597359,264.0594698
3,1,3,4,124.6936644,2.284214228,108.2832023
3,1,4,3,127.5369697,2.926432207,94.03515663
3,1,5,2,32.47522292,1.079666577,18.13885179
3,1,6,3,165.3891916,2.984497538,138.0294038
3,1,7,3,5.610508529,0.9033193399,13.7564981
3,1,8,4,304.4819482,6.284831943,292.8090587
3,1,9,0,29.54762129,1.478131306,33.71078993
3,1,10,2,93.60665334,2.585247709,91.85121337
3,1,11,4,23.2321853,1.779727925,22.16717123
3,1,12,1,32.25774304,2.171414636,40.94486006
3,1,13,0,40.9185664,2.906755934,31.01310237
3,1,14,3,112.4623572,5.04353335,108.22258
3,1,15,2,48.92599682,7.845349391,45.15794153
3,2,0,1,174.4813765,3.823849065,80.8751722
3,2,1,0,175.016198,2.467854195,165.536134
3,2,2,4,515.6278133,6.400090176,535.2709326
3,2,3,2,564.3930982,7.727691517,554.6963168
3,2,4,1,80.34395037,2.002033688,43.16362268
3,2,5,2,317.2394018,4.796837617,306.3424219
3,2,6,4,103.6926656,2.317653323,89.3114935
3,2,7,4,135.1487928,3.078218635,145.0782377
3,2,8,1,134.1004861,4.141681272,121.6883633
3,2,9,3,327.1372176,7.096833218,314.300972
3,2,10,0,245.4165008,7.009816672,217.6004897
3,2,11,0,21.66145082,2.135866271,20.15891066
3,2,12,2,77.64399107,4.46831554,71.70744453
3,2,13,3,32.14965517,3.068122868,32.73348962
3,2,14,2,35.8819387,3.124165092,31.56911483
3,2,15,2,14.2768708,4.764887778,15.23243741
3,3,0,3,279.3900112,8.6131673,222.6044325
3,3,1,1,292.3912947,4.868650769,286.6249663
3,3,2,1,14.57383829,2.304008514,9.085566963
3,3,3,3,223.4977903,4.154126907,179.1788082
3,3,4,3,17.92647245,1.019334499,12.96357346
3,3,5,4,253.6079796,4.190882361,246.8399067
3,3,6,4,3.312707422,0.6291768879,4.747736617
3,3,7,3,309.3438578,5.037799542,297.2073688
3,3,8,0,45.62272323,2.050786396,39.11426994
3,3,9,0,35.10323344,2.649319123,45.24500624
3,3,10,3,12.6416589,1.840678326,11.71856863
3,3,11,0,75.22850662,3.952546543,91.95338722
3,3,12,0,29.38871232,2.666501369,18.59870221
3,3,13,0,15.49827209,2.904703257,20.75511842
3,3,14,2,9.04492222,3.871449126,13.18000418
3,4,0,1,14.01378945,1.583262577,8.050744393
3,4,1,2,270.6209998,4.884268714,247.5908417
3,4,2,0,28.4997124,1.794891876,19.00296337
3,4,3,0,516.4410127,8.481300565,528.0954362
3,4,4,0,126.4537718,3.075700843,119.4894283
3,4,5,0,104.5840422,2.641581742,122.0655265
3,4,6,1,5.71859092,0.9125924288,11.57067675
3,4,7,1,59.76809864,3.84939326,48.10422628
3,4,8,3,89.12341266,4.516102729,69.63028609
3,4,9,1,29.80902668,3.720134825,20.57871099
3,4,10,4,11.15679633,4.680303324,7.500639259
3,4,11,4,22.77280115,2.49152326,25.24087522
3,4,12,2,29.51201934,3.33595163,40.68395374
3,5,0,2,24.33511462,3.413438809,16.83058964
3,5,1,1,203.4763354,5.585707532,210.0857861
3,5,2,0,35.22317392,2.749382388,53.5481415
3,5,3,1,13.55203135,2.794441201,13.66938249
3,5,4,4,3.702184087,1.522999687,0.3286155553
3,5,5,4,65.21885564,3.092835953,60.80736455
3,5,6,1,44.29656065,4.100999314,52.12835539
3,5,7,2,59.79797023,4.230295331,48.30325463
3,5,8,2,15.56488558,2.494308579,7.590942231
3,5,9,3,14.76888463,2.618716385,11.85292267
3,5,10,1,39.23846088,3.755496358,32.4130043
3,6,0,0,6.658548104,4.114571893,18.50589082
3,6,1,4,80.94750133,4.677095795,76.0167578
3,6,2,3,19.52865483,2.580905664,9.161922554
3,6,3,2,172.6058451,9.702931595,152.330327
3,6,4,4,40.14952295,4.312807809,29.98389707
3,6,5,3,10.925845,2.048475254,8.235918794
3,6,6,0,14.95501939,2.297450514,10.34897528
3,6,7,2,46.60959122,4.560387107,34.46357812
3,6,8,1,16.83416647,3.234430429,14.39276122
3,7,0,1,11.4550019,3.315274448,5.467853813
3,7,1,0,90.96017331,5.879833524,93.91517392
3,7,2,3,25.57115295,5.982203421,23.41436034
3,7,3,1,8.212252803,2.135033226,16.55741913
4,0,0,4,271.6183216,8.323174878,218.0764045
4,0,1,4,43.26840212,1.919050702,47.82100878
4,0,2,1,125.1914687,3.510711777,116.5020379
4,0,3,3,9.058345893,0.6536833889,24.40968183
4,0,4,1,291.0918074,4.588824446,248.8920845
4,0,5,4,2.49165641,0.4980344021,0.7868289602
4,0,6,0,76.7047784,2.381148343,85.69880216
4,0,7,4,30.49755024,1.988185671,22.61307742
4,0,8,1,69.92404576,3.068381612,64.21045619
4,0,9,0,12.08954128,2.118980719,11.63828132
4,0,10,0,102.335659,5.399044444,83.64526067
4,0,11,2,87.02217796,5.859449768,79.46128281
4,0,12,0,39.18647902,5.946270453,42.88884554
4,0,13,0,6.487847216,2.472060258,4.822873982
4,0,14,3,99.7330677,8.135537425,112.0747427
4,1,0,1,437.838719,9.815369491,402.4115951
4,1,1,0,321.6941987,6.083711693,302.3671455
4,1,2,3,35.6604223,0.9899746124,35.24357461
4,1,3,4,27.74123106,1.231125365,31.47906783
4,1,4,1,143.1770464,2.659423498,126.0997108
4,1,5,2,102.6986363,2.307394494,99.45214968
4,1,6,3,161.509078,3.255876466,164.3602439
4,1,7,2,91.10171089,2.244229849,80.85802848
4,1,8,3,58.31359375,1.820912783,57.39241441
4,1,9,3,1.637306045,0.7270214043,3.933459598
4,1,10,3,18.91201553,1.41337962,18.18381227
4,1,11,1,55.19147971,2.503613642,50.17695803
4,1,12,4,136.574394,5.468761788,122.5538407
4,1,13,2,20.46767697,2.302568353,24.44617202
4,1,14,4,36.81040967,3.466387251,37.83705697
4,2,0,2,66.35578257,1.975581391,80.77222202
4,2,1,0,127.3955659,2.5919989,114.8199076
4,2,2,2,163.975443,2.98667958,119.1822683
4,2,3,2,178.7500665,3.304639062,150.3228782
4,2,4,1,11.58516059,0.7387301042,12.08033463
4,2,5,1,65.78765128,2.04193793,68.6945878
4,2,6,1,134.984311,3.289892426,130.036847
4,2,7,3,110.7631898,3.205298402,99.94623609
4,2,8,3,114.3112105,3.944274071,129.4986379
4,2,9,1,46.4906986,2.403613608,42.47894298
4,2,10,4,150.0807637,5.396898849,157.8355899
4,2,11,1,36.57320819,2.83646252,27.74253678
4,2,12,3,8.130278359,1.728757982,14.84862512
4,2,13,0,0.5881725122,1.432094647,4.702942647
4,2,14,0,10.04464903,4.870726216,12.59911919
4,3,0,4,13.29331043,2.709877475,15.49258002
4,3,1,2,137.9808909,3.291597495,128.3807485
4,3,2,2,29.7384038,1.10812664,24.0440185
4,3,3,0,92.24838381,2.134962149,89.5585046
4,3,4,1,27.23021434,1.734366566,18.30820294
4,3,5,3,307.2983014,5.411244787,303.7921841
4,3,6,2,85.2097101,2.423079268,75.96682419
4,3,7,4,63.10526622,2.651345037,54.46207078
4,3,8,0,60.47772507,3.168230218,58.3404301
4,3,9,0,73.54100008,3.774713001,76.25060221
4,3,10,2,15.714295,2.415182094,13.89964957
4,3,11,2,30.76454075,2.697289199,33.13408125
4,3,12,0,20.31573446,3.395132709,27.48598466
4,3,13,0,61.30884331,6.470607446,66.81186527
4,4,0,3,78.02402968,2.642479133,81.29746269
4,4,1,0,123.9145002,3.022305159,120.1138425
4,4,2,0,60.93582255,1.738758985,52.85047749
4,4,3,2,104.2978755,2.627329412,110.8570804
4,4,4,0,43.84004881,1.740482023,43.04072645
4,4,5,2,84.77706969,2.57589262,62.6675505
4,4,6,0,64.84003081,2.391061582,64.18277112
4,4,7,3,33.71671681,3.446390147,57.37590261
4,4,8,1,4.436262953,1.952635983,6.342589412
4,4,9,4,4.9228296,1.834233977,1.893427636
4,4,10,2,22.53778941,3.123047063,31.31117552
4,5,0,3,0.08042366547,1.272160372,2.489622713
4,5,1,2,62.29520518,3.583957997,67.76148015
4,5,2,1,31.90284197,2.643742028,32.48315862
4,5,3,0,32.32935653,2.092189358,42.85655922
4,5,4,0,20.209205,1.8325554,30.84684318
4,5,5,4,7.967246613,2.51689963,3.054174793
4,5,6,1,24.0238801,2.546338446,23.11068495
4,5,7,2,18.57471514,2.433744393,15.66938
4,5,8,4,71.09259361,7.577419711,72.00781741
4,5,9,1,5.888478272,2.263498927,1.015284589
4,5,10,4,99.39250932,8.068154897,83.65938483
4,6,0,0,-0.6209722332,2.277601581,0.3093576016
4,6,1,0,79.70647777,4.710484218,77.52480058
4,6,2,1,13.07018325,2.165823396,16.75493781
4,6,3,3,43.2639069,2.982093781,32.35878112
4,6,4,0,1.818165794,2.049633781,2.683920015
4,6,5,1,30.43728587,2.732776463,21.27259408
4,6,6,0,48.45163261,4.301540277,57.25921101
4,6,7,4,4.588488607,1.938518781,15.66328076
4,7,0,1,3.013463833,2.624189171,0.1857622287
4,7,1,2,42.09392511,3.825942486,43.60636751
4,7,2,1,7.146963075,2.017745101,4.458680272
5,0,1,4,305.6989275,6.303722033,321.1512369
5,0,2,1,160.2520366,4.582035619,139.5150455
5,0,3,3,61.72871277,2.569771203,61.67875686
5,0,4,3,458.9462667,15.36830431,447.6837978
5,0,5,2,225.0204393,4.581835326,203.503647
5,0,6,0,2.0232422,0.687662383,1.774627061
5,0,7,2,8.774284185,1.156383895,6.351146972
5,0,8,1,150.9399114,10.10093236,167.2868217
5,0,9,1,82.19578555,6.243688053,80.55260826
5,0,10,0,7.759798161,2.109848348,8.507766469
5,0,11,0,20.97134794,3.121505994,28.61680105
5,1,0,2,360.0947441,11.41811819,351.094567
5,1,1,0,146.2527024,3.581667284,143.4508485
5,1,2,3,589.0108479,8.97280526,522.8459723
5,1,3,3,212.9968248,9.503018627,223.1033498
5,1,4,3,114.6943268,3.250341998,95.03640517
5,1,5,4,10.6658563,1.005880198,13.99204069
5,1,6,3,265.0583613,5.264681141,257.066362
