run,h,k,l,omega,x,y,module,Linv,P,edge,Iunscaled,sigmaunscaled,Iscaled,z
3,1,3,1,34.40932,292.19237,440.88229,0,0.35440529,0.92968048,0,-4.1170888,1.5795014,-3.8707241,-20.58748
3,1,3,2,25.327196,285.36694,440.57769,0,0.36739728,0.92504817,0,0.66194261,2.2265367,0.62233228,-11.184556
3,2,3,-2,57.481386,284.31013,504.13277,0,0.36078177,0.90450391,0,-2.1609803,1.7411725,-2.0316683,-19.268389
3,2,3,-1,48.948588,291.031,504.04306,0,0.34835681,0.90902319,0,-2.9536061,1.3821735,-2.7768637,-18.375978
3,2,3,1,30.57885,290.72566,503.54447,0,0.3490076,0.90902319,0,0.019196848,1.691312,0.018048117,-18.179992
3,2,3,2,21.640992,283.72574,503.13961,0,0.3620375,0.90450391,0,-2.2152801,1.6184907,-2.0827188,-19.268586
3,3,3,-1,42.488622,290.30779,573.15845,0,0.33546256,0.87572519,0,-1.1467957,1.1916241,-1.078172,-18.877566
3,3,3,0,33.296555,292.49627,572.96671,0,0.33162792,0.8771744,0,1.0600144,1.618298,0.99658367,-18.550378
3,3,3,1,24.143526,289.81321,572.58303,0,0.33647504,0.87572519,0,-1.4888698,1.0238541,-1.3997765,-18.894328
3,4,3,-1,32.977615,293.50399,654.42779,0,0.30908138,0.83148269,0,-0.87653241,0.85479243,-0.82408112,-15.752298
3,4,3,1,14.685773,292.73849,653.70649,0,0.31054488,0.83148269,0,0.47953408,1.2190241,0.45083899,-15.563544
3,4,3,2,6.3791846,284.6879,652.93974,0,0.32407598,0.82741552,0,-1.5566475,0.95583594,-1.4634984,-8.3844379
3,0,-3,-3,40.952346,669.74048,381.30955,1,0.38914715,0.92428181,0,72.718036,6.0719661,68.168215,0.7731231
4,-2,-1,-4,16.517588,156.53543,414.01644,0,0.34525309,0.93815237,0,0.081522063,2.0750966,0.071940399,-23.400298
4,-1,-3,-6,18.794388,139.98102,563.46408,0,0.35368227,0.87719895,0,-1.1610997,1.2380292,-1.0246303,-12.085203
4,-1,-2,-7,1.861909,140.33908,538.88063,0,0.35849606,0.88921704,0,0.59198065,1.6259859,0.52240243,-15.025939
5,0,1,-6,-51.285831,290.4097,381.487,0,0.3604313,0.93504417,0,1.8226535,1.4866233,1.7782189,-11.640342
5,0,2,-6,-68.391659,263.70921,381.78023,0,0.41125099,0.91543514,0,-0.77291773,1.8001393,-0.7540747,-23.866773
5,0,2,-5,-72.053287,286.54674,381.73231,0,0.36782753,0.93235038,0,2.7541712,1.6139973,2.687027,-14.902185
5,1,2,-5,-73.187107,286.14995,441.54522,0,0.36582373,0.92538645,0,-0.30801003,2.0359306,-0.30050102,-20.926528
5,2,0,-6,-36.669309,298.47863,503.9693,0,0.3345486,0.91386435,0,-0.82947523,1.1905979,-0.80925337,-14.698585
5,2,1,-6,-55.979603,288.61783,504.01311,0,0.35283269,0.90744071,0,-0.45280509,1.482829,-0.44176611,-18.296385
5,3,1,-6,-62.130071,287.81494,573.09844,0,0.33989233,0.87420855,0,0.014400002,1.3829251,0.014048943,-15.875928
5,3,2,-5,-82.772795,283.98315,573.26569,0,0.34663077,0.8717105,0,-0.95534686,1.3094397,-0.93205637,-18.833349
5,4,1,-6,-71.285499,290.81287,654.31636,0,0.31356382,0.83005824,0,0.027982314,1.1074234,0.02730013,-15.84005
6,-1,0,7,-80.833272,262.6781,381.41393,0,0.4131963,0.91463411,0,-3.7033272,1.7142555,-3.5508617,-8.9481946
6,-1,2,5,-43.219657,278.66836,407.78346,0,0.38232479,0.92538645,0,105.60866,6.9117077,101.26077,-17.082663
6,0,2,6,-52.833018,282.47106,469.71405,0,0.36958192,0.91543514,0,46.275759,4.8992496,44.370593,-23.600297
6,1,1,7,-80.244984,295.45284,512.91653,0,0.33863987,0.90820448,0,-1.3648355,1.388005,-1.3086454,-20.19018
6,1,2,7,-65.461241,282.34681,536.1671,0,0.35809982,0.88921704,0,-2.0941109,1.4675583,-2.0078966,-14.852207
6,1,3,5,-39.938184,293.77876,543.00718,0,0.33593478,0.89332493,0,0.77560299,1.4432619,0.74367152,-8.0733366
