row_zero_based,run,h,k,l,omega,x,y,module,flags_1_edge_2_short_4_lowL_8_shadow_16_invalid_32_symmetry_outlier
86,1,1,-2,-7,48.545463,88.830292,345.61476,0,19
87,1,1,-1,-11,28.559721,11.684089,235.53513,0,0
88,1,1,-1,-10,30.891422,40.940311,259.3169,0,0
89,1,1,-1,-9,33.213397,68.386071,281.25782,0,0
90,1,1,-1,-8,35.534478,94.364613,301.75797,0,0
91,1,1,-1,-7,37.86515,119.15471,321.14334,0,1
92,1,1,-1,-6,40.218803,142.98717,339.68646,0,19
93,1,1,-1,-5,42.613907,166.05646,357.62151,0,19
94,1,1,-1,-4,45.078142,188.52864,375.15551,0,27
95,1,1,-1,-3,47.656978,210.54598,392.4772,0,27
96,1,1,0,-11,17.912965,32.347799,208.13615,0,0
97,1,1,0,-10,19.50282,60.697325,232.78073,0,0
98,1,1,0,-9,20.93818,87.370677,255.42736,0,0
99,1,1,0,-8,22.184378,112.68099,276.49855,0,0
100,1,1,0,-7,23.188445,136.87879,296.33707,0,0
101,1,1,0,-6,23.867723,160.16472,315.22795,0,0
102,1,1,0,-5,24.088571,182.6955,333.41431,0,0
103,1,1,0,-4,23.623798,204.58181,351.10912,0,0
104,1,1,0,-3,22.060511,225.87132,368.5039,0,8
105,1,1,0,-2,18.580737,246.49615,385.77476,0,8
106,1,1,0,-1,11.386291,266.1137,403.08442,0,0
107,1,1,0,0,-3.8217648,283.57645,420.57213,0,0
108,1,1,1,-12,4.4709307,11.758529,149.31978,0,0
109,1,1,1,-11,5.4077701,40.936184,178.13693,0,0
110,1,1,1,-10,6.0690571,68.01088,204.13585,0,0
111,1,1,1,-9,6.3959988,93.324887,227.90458,0,0
112,1,1,1,-8,6.3053713,117.1248,249.90551,0,0
113,1,1,1,-7,5.678481,139.57325,270.51083,0,0
114,1,1,1,-6,4.3442497,160.74837,290.02686,0,0
115,1,1,1,-5,2.0538869,180.62888,308.71131,0,0
116,1,1,1,-4,-1.5541346,199.0594,326.78523,0,0
117,1,1,1,-3,-6.9909957,215.68816,344.44058,0,1
118,1,1,1,-2,-14.913748,229.87547,361.84345,0,19
119,1,1,2,-12,-8.2736927,8.9666999,113.04685,0,19
120,1,1,2,-11,-8.1003727,36.63727,144.28613,0,19
121,1,1,2,-10,-8.3125959,61.991355,172.28375,0,19
122,1,1,2,-9,-8.9806835,85.313115,197.71655,0,19
123,1,1,2,-8,-10.195328,106.77455,221.1113,0,19
124,1,1,2,-7,-12.071209,126.44539,242.88708,0,19
125,1,1,2,-6,-14.748904,144.29313,263.38417,0,19
126,1,2,-3,-7,45.860214,26.040039,413.48377,0,19
127,1,2,-3,-6,48.217058,51.214663,431.62247,0,19
128,1,2,-2,-9,34.608396,7.5829274,348.83626,0,0
129,1,2,-2,-8,36.626369,35.381223,368.36224,0,0
130,1,2,-2,-7,38.599783,61.615321,387.02998,0,1
131,1,2,-2,-6,40.522984,86.569981,405.09398,0,19
132,1,2,-2,-5,42.386536,110.48515,422.77611,0,19
133,1,2,-2,-4,44.175229,133.56916,440.27633,0,19
134,1,2,-2,-3,45.86454,156.01024,457.78133,0,19
135,1,2,-2,-2,47.413977,177.98853,475.47203,0,19
136,1,2,-2,-1,48.753518,199.69232,493.53074,0,19
137,1,2,-2,3,44.501351,292.08028,573.82254,0,19
138,1,2,-1,-9,25.891215,32.927742,323.08594,0,0
139,1,2,-1,-8,27.312258,59.982211,342.89565,0,0
140,1,2,-1,-7,28.575211,85.644387,361.75758,0,0
141,1,2,-1,-6,29.639334,110.17855,379.93073,0,0
142,1,2,-1,-5,30.443642,133.80998,397.6398,0,0
143,1,2,-1,-4,30.89406,156.73719,415.08603,0,32
144,1,2,-1,-3,30.839204,179.14339,432.45593,0,0
145,1,2,-1,-2,30.021028,201.20984,449.92873,0,0
146,1,2,-1,-1,27.963618,223.13734,467.68375,0,0
147,1,2,-1,0,23.685707,245.19397,485.90904,0,0
148,1,2,-1,1,14.791521,267.86341,504.81656,0,0
149,1,2,-1,2,-6.5887937,292.5901,524.69524,0,1
150,1,2,0,-10,14.306111,18.613288,275.35642,0,0
151,1,2,0,-9,15.152556,46.322118,297.10084,0,0
152,1,2,0,-8,15.738388,72.340364,317.45377,0,0
153,1,2,0,-7,15.999904,96.941113,336.73755,0,0
154,1,2,0,-6,15.84639,120.33442,355.22137,0,0
155,1,2,0,-5,15.146217,142.67473,373.13588,0,8
156,1,2,0,-4,13.703946,164.06055,390.68399,0,8
157,1,2,0,-3,11.222002,184.52423,408.04868,0,0
158,1,2,0,-2,7.2365692,204.00515,425.39829,0,0
159,1,2,0,-1,1.0163369,222.29288,442.8889,0,0
160,1,2,0,0,-8.5602235,238.91472,460.66208,0,19
161,1,2,1,-10,2.9084143,20.788349,247.16355,0,0
162,1,2,1,-9,2.9784488,47.146414,269.96113,0,0
163,1,2,1,-8,2.6654238,71.649273,291.1791,0,0
164,1,2,1,-7,1.8841147,94.50693,311.16598,0,0
165,1,2,1,-6,0.52142242,115.84792,330.20921,0,0
166,1,2,1,-5,-1.5721464,135.71995,348.55108,0,0
167,1,2,1,-4,-4.5916888,154.08195,366.39991,0,8
168,1,2,1,-3,-8.7840216,170.78762,383.93775,0,27
169,1,2,1,-2,-14.440574,185.56292,401.32516,0,27
170,1,2,2,-10,-9.1201947,10.28815,216.29675,0,19
171,1,2,2,-9,-9.7176083,35.069543,240.63428,0,19
172,1,2,2,-8,-10.757211,57.707296,263.13293,0,19
173,1,2,2,-7,-12.313571,78.366056,284.18376,0,19
174,1,2,2,-6,-14.47482,97.121467,304.10491,0,19
175,1,3,-4,-5,44.724369,5.683967,528.0179,0,19
176,1,3,-4,-4,46.225022,30.816681,546.4582,0,19
177,1,3,-4,-3,47.596441,54.888128,565.28955,0,19
178,1,3,-4,-2,48.804531,78.174086,584.72479,0,19
179,1,3,-4,4,46.245372,226.63581,730.01931,0,19
180,1,3,-4,5,38.358156,269.98324,764.60451,0,1
181,1,3,-3,-6,37.761413,21.745936,477.23955,0,1
182,1,3,-3,-5,39.055855,47.496568,495.13638,0,1
183,1,3,-3,-4,40.183134,72.19178,513.10692,0,19
184,1,3,-3,-3,41.096511,96.105551,531.35098,0,19
185,1,3,-3,-2,41.726942,119.51797,550.07077,0,19
186,1,3,-3,-1,41.968299,142.74692,569.48102,0,19
187,1,3,-3,0,41.648021,166.20232,589.82235,0,19
188,1,3,-3,1,40.461442,190.49839,611.38292,0,19
189,1,3,-3,2,37.796401,216.74134,634.54386,0,1
190,1,3,-3,3,32.096192,247.55089,659.9187,0,0
191,1,3,-3,4,15.569596,295.53241,689.39081,0,0
192,1,3,-2,-7,29.245494,25.925492,430.45799,0,0
193,1,3,-2,-6,30.180498,52.208658,448.40186,0,0
194,1,3,-2,-5,30.881245,77.340932,466.11889,0,0
195,1,3,-2,-4,31.281235,101.5913,483.81167,0,0
196,1,3,-2,-3,31.282329,125.22041,501.67428,0,0
197,1,3,-2,-2,30.733945,148.50531,519.90122,0,32
198,1,3,-2,-1,29.392469,171.77859,538.69752,0,0
199,1,3,-2,0,26.833412,195.50515,558.29285,0,0
200,1,3,-2,1,22.230531,220.46958,578.96786,0,0
201,1,3,-2,2,13.644379,248.38857,601.12509,0,0
202,1,3,-2,3,-5.9782355,285.61174,625.66805,0,1
203,1,3,-1,-8,19.636558,18.385418,385.1287,0,0
204,1,3,-1,-7,20.1473,45.066843,403.71104,0,0
205,1,3,-1,-6,20.354408,70.363699,421.74381,0,0
206,1,3,-1,-5,20.177419,94.529211,439.44818,0,0
207,1,3,-1,-4,19.501584,117.78222,457.0244,0,0
208,1,3,-1,-3,18.158847,140.31949,474.66043,0,32
209,1,3,-1,-2,15.894849,162.32829,492.53964,0,0
210,1,3,-1,-1,12.308819,184.00246,510.84812,0,0
211,1,3,-1,0,6.7378035,205.56913,529.78303,0,0
212,1,3,-1,1,-1.9806096,227.34514,549.5641,0,0
213,1,3,-1,2,-16.02787,249.8894,570.45509,0,19
214,1,3,0,-8,9.6101656,26.341798,358.87125,0,0
215,1,3,0,-7,9.3944172,51.701052,377.85968,0,0
216,1,3,0,-6,8.7547787,75.558072,396.17637,0,0
217,1,3,0,-5,7.5862547,98.097739,414.04705,0,0
218,1,3,0,-4,5.7467119,119.44951,431.67165,0,0
219,1,3,0,-3,3.0425533,139.68772,449.2323,0,32
220,1,3,0,-2,-0.79005332,158.82524,466.89925,0,32
221,1,3,0,-1,-6.1062311,176.79842,484.83504,0,1
222,1,3,0,0,-13.364982,193.44076,503.19687,0,19
223,1,3,1,-8,-1.3769471,21.862904,332.31095,0,0
224,1,3,1,-7,-2.2779995,45.586141,351.97226,0,0
225,1,3,1,-6,-3.6728269,67.550305,370.81251,0,0
226,1,3,1,-5,-5.6594783,87.873911,389.06866,0,0
227,1,3,1,-4,-8.3576464,106.60529,406.94616,0,19
228,1,3,1,-3,-11.909175,123.72216,424.62717,0,19
229,1,3,1,-2,-16.473383,139.1281,442.27662,0,19
230,1,3,2,-7,-14.013493,26.919483,325.11223,0,19
231,1,3,2,-6,-15.904515,46.825698,344.78332,0,19
232,1,4,-5,-1,39.635593,32.257099,716.89118,0,3
233,1,4,-5,0,39.156793,60.029148,742.37599,0,1
234,1,4,-4,-3,34.815952,26.966067,623.29285,0,0
235,1,4,-4,-2,34.74113,53.48456,643.9828,0,0
236,1,4,-4,-1,34.196068,80.01593,665.89875,0,0
237,1,4,-4,0,33.004023,107.22985,689.38421,0,0
238,1,4,-4,1,30.867974,136.13383,714.88356,0,8
239,1,4,-4,2,27.223368,168.51636,743.03571,0,0
240,1,4,-3,-5,28.218287,10.419741,546.69145,0,0
241,1,4,-3,-4,28.331796,37.168948,565.18214,0,0
242,1,4,-3,-3,28.061791,63.175976,584.18549,0,0
243,1,4,-3,-2,27.289879,88.844504,603.93259,0,0
244,1,4,-3,-1,25.836604,114.66249,624.68199,0,0
245,1,4,-3,0,23.412531,141.30217,646.74234,0,8
246,1,4,-3,1,19.505853,169.8419,670.51515,0,0
247,1,4,-3,2,13.063476,202.39626,696.60115,0,0
248,1,4,-3,3,1.1244796,244.89494,726.2238,0,0
249,1,4,-2,-6,20.696856,9.2741145,496.26766,0,0
250,1,4,-2,-5,20.572278,35.856832,514.23817,0,0
251,1,4,-2,-4,20.037157,61.3997,532.36473,0,0
252,1,4,-2,-3,18.975198,86.221677,550.85388,0,0
253,1,4,-2,-2,17.217727,110.66237,569.91875,0,0
254,1,4,-2,-1,14.509903,135.12668,589.79132,0,0
255,1,4,-2,0,10.444696,160.16611,610.7402,0,0
256,1,4,-2,1,4.317706,186.65884,633.10268,0,0
257,1,4,-2,2,-5.2591376,216.31809,657.36222,0,0
258,1,4,-1,-6,12.023782,23.349006,467.28249,0,0
259,1,4,-1,-5,11.243625,48.4656,485.2008,0,0
260,1,4,-1,-4,9.9411922,72.437907,503.1426,0,0
261,1,4,-1,-3,7.9767793,95.498871,521.30382,0,0
262,1,4,-1,-2,5.1565214,117.86983,539.87949,0,0
263,1,4,-1,-1,1.2059056,139.77898,559.07206,0,32
264,1,4,-1,0,-4.272447,161.48832,579.10109,0,0
265,1,4,-1,1,-11.867268,183.34149,600.21639,0,19
266,1,4,0,-6,2.2165606,24.85768,440.19319,0,0
267,1,4,0,-5,0.79177601,48.186107,458.24906,0,0
268,1,4,0,-4,-1.2206508,70.112086,476.19296,0,0
269,1,4,0,-3,-3.9505468,90.771417,494.21402,0,0
270,1,4,0,-2,-7.5613971,110.25539,512.49321,0,3
271,1,4,0,-1,-12.255542,128.61189,531.20921,0,19
272,1,4,1,-6,-8.1039096,13.974745,413.94264,0,19
273,1,4,1,-5,-10.023915,35.300618,432.36502,0,19
274,1,4,1,-4,-12.521906,54.900802,450.53361,0,19
275,1,4,1,-3,-15.689037,72.84675,468.63842,0,19
276,1,5,-4,-2,21.571534,18.910815,716.8652,0,0
277,1,5,-4,-1,19.76114,49.745454,741.23656,0,0
278,1,5,-4,0,17.021801,82.185083,767.89866,0,0
279,1,5,-3,-3,16.321729,20.788382,647.52511,0,0
280,1,5,-3,-2,14.577026,49.086428,668.79828,0,0
281,1,5,-3,-1,12.015947,77.773176,691.50394,0,0
282,1,5,-3,0,8.3216367,107.76705,716.04744,0,0
283,1,5,-3,1,2.9478308,140.56474,742.98809,0,8
284,1,5,-2,-4,10.064209,12.588484,589.36723,0,0
285,1,5,-2,-3,8.3503419,39.134953,608.8365,0,0
286,1,5,-2,-2,5.922407,65.217004,629.16813,0,0
287,1,5,-2,-1,2.5626028,91.323949,650.6356,0,0
288,1,5,-2,0,-2.0541728,118.10364,673.56593,0,0
289,1,5,-2,1,-8.4449601,146.54098,698.38011,0,27
290,1,5,-1,-4,1.5168083,19.784452,556.53762,0,0
291,1,5,-1,-3,-0.76156125,44.069275,575.55694,0,0
292,1,5,-1,-2,-3.7967436,67.522997,595.22598,0,0
293,1,5,-1,-1,-7.779542,90.442915,615.77767,0,3
294,1,5,-1,0,-12.966179,113.17142,637.47296,0,19
295,1,5,0,-4,-7.6746736,14.277864,527.14763,0,3
296,1,5,0,-3,-10.376052,36.083462,545.95565,0,19
297,1,5,0,-2,-13.796216,56.619556,565.22826,0,19
298,1,6,-2,-2,-3.9811559,11.01163,703.5652,0,0
299,1,6,-2,-1,-7.6700395,39.812415,727.45783,0,3
300,1,6,-2,0,-12.490611,69.49658,753.42194,0,19
301,1,6,-1,-2,-11.811356,9.2858415,663.7474,0,19
302,1,6,-1,-1,-15.748015,34.241035,686.37559,0,19
303,1,-8,-1,1,33.303463,782.16914,22.192824,1,0
304,1,-8,0,2,43.120011,774.98477,11.155929,1,19
305,1,-7,-3,-4,3.9122744,755.42425,30.683416,1,0
306,1,-7,-3,-3,5.5706882,758.57214,61.254383,1,0
307,1,-7,-3,-2,7.3775523,763.20024,89.245886,1,0
308,1,-7,-3,-1,9.3138031,769.31305,115.13871,1,0
309,1,-7,-3,0,11.36229,776.92016,139.31806,1,0
310,1,-7,-3,1,13.507698,786.04002,162.10105,1,0
311,1,-7,-2,-3,12.074792,707.3457,28.861294,1,0
312,1,-7,-2,-2,13.715565,715.45592,58.734641,1,0
313,1,-7,-2,-1,15.493731,724.61706,86.114734,1,0
314,1,-7,-2,0,17.38804,734.89873,111.45703,1,0
315,1,-7,-2,1,19.380511,746.36179,135.12823,1,0
316,1,-7,-2,2,21.456004,759.06747,157.43212,1,0
317,1,-7,-2,3,23.601884,773.08476,178.62808,1,0
318,1,-7,-2,4,25.807745,788.49713,198.94481,1,0
319,1,-7,-1,-2,22.644565,672.6449,22.256888,1,0
320,1,-7,-1,-1,24.000741,685.8967,52.188366,1,0
321,1,-7,-1,0,25.51082,699.65588,79.526828,1,0
322,1,-7,-1,1,27.148285,714.09489,104.75519,1,0
323,1,-7,-1,2,28.892166,729.35552,128.2588,1,0
324,1,-7,-1,3,30.725784,745.56632,150.35499,1,0
325,1,-7,-1,4,32.635875,762.85529,171.31351,1,0
326,1,-7,-1,5,34.611957,781.36027,191.37154,1,0
327,1,-7,0,-1,35.176596,652.75344,12.04233,1,0
328,1,-7,0,0,35.937954,671.05932,42.474902,1,0
329,1,-7,0,1,36.924748,689.21346,70.079458,1,0
330,1,-7,0,2,38.093455,707.55615,95.415138,1,1
331,1,-7,0,3,39.411876,726.35292,118.91637,1,1
332,1,-7,0,4,40.855669,745.8298,140.93361,1,19
333,1,-7,0,5,42.406184,766.19667,161.76008,1,19
334,1,-7,0,6,44.049034,787.6646,181.65045,1,19
335,1,-7,1,1,48.583955,672.26342,29.939127,1,19
336,1,-7,1,2,48.902257,694.17124,57.86067,1,19
337,1,-6,-4,-8,-15.741759,778.94011,12.971575,1,19
338,1,-6,-4,-7,-14.432482,770.32716,47.955033,1,19
339,1,-6,-4,-6,-12.900569,763.83272,79.40523,1,19
340,1,-6,-4,-5,-11.162702,759.33322,108.04045,1,19
341,1,-6,-4,-4,-9.2359432,756.73621,134.41006,1,19
342,1,-6,-4,-3,-7.1377609,755.97159,158.94387,1,1
343,1,-6,-4,-2,-4.8858758,756.98595,181.98585,1,0
344,1,-6,-4,-1,-2.4979891,759.73948,203.81799,1,0
345,1,-6,-4,0,0.0085611688,764.20467,224.67768,1,0
346,1,-6,-4,1,2.6171621,770.36655,244.77082,1,0
347,1,-6,-4,2,5.3122663,778.22419,264.28207,1,0
348,1,-6,-4,3,8.0796804,787.79323,283.38325,1,0
349,1,-6,-3,-7,-11.006019,705.60589,17.809476,1,19
350,1,-6,-3,-6,-9.3741002,702.40409,50.709888,1,19
351,1,-6,-3,-5,-7.5265704,700.87642,80.545099,1,3
352,1,-6,-3,-4,-5.4875406,700.99616,107.90728,1,0
353,1,-6,-3,-3,-3.2807409,702.73617,133.2541,1,0
354,1,-6,-3,-2,-0.92925696,706.06931,156.94751,1,0
355,1,-6,-3,-1,1.5448536,710.96983,179.28074,1,0
356,1,-6,-3,0,4.1209692,717.4154,200.49768,1,0
357,1,-6,-3,1,6.7802683,725.38994,220.80716,1,0
358,1,-6,-3,2,9.5060043,734.88689,240.39387,1,0
359,1,-6,-3,3,12.283673,745.913,259.42686,1,0
360,1,-6,-3,4,15.101073,758.49244,278.06671,1,0
361,1,-6,-3,5,17.948274,772.67165,296.47174,1,0
362,1,-6,-3,6,20.817514,788.52487,314.80405,1,0
363,1,-6,-2,-6,-3.0889583,642.53048,14.767883,1,0
364,1,-6,-2,-5,-1.2449187,645.06987,47.101345,1,0
365,1,-6,-2,-4,0.79177352,648.87293,76.515483,1,0
366,1,-6,-2,-3,2.9890257,653.97655,103.55247,1,0
367,1,-6,-2,-2,5.3178257,660.39338,128.63302,1,0
368,1,-6,-2,-1,7.7523414,668.12173,152.09233,1,0
369,1,-6,-2,0,10.270021,677.15356,174.20494,1,0
370,1,-6,-2,1,12.851615,687.48115,195.2024,1,0
371,1,-6,-2,2,15.481095,699.10289,215.2861,1,0
372,1,-6,-2,3,18.145473,712.02845,234.63693,1,0
373,1,-6,-2,4,20.834555,726.28354,253.42296,1,0
374,1,-6,-2,5,23.54065,741.91464,271.80576,1,0
375,1,-6,-2,6,26.258272,758.99406,289.94622,1,0
376,1,-6,-2,7,28.983846,777.62585,308.01023,1,0
377,1,-6,-1,-4,10.771851,598.16232,38.560941,1,0
378,1,-6,-1,-3,12.619041,608.29255,68.588628,1,0
379,1,-6,-1,-2,14.611675,619.10624,96.06898,1,0
380,1,-6,-1,-1,16.717598,630.69975,121.45517,1,0
381,1,-6,-1,0,18.911188,643.13649,145.1072,1,0
382,1,-6,-1,1,21.172171,656.46357,167.31998,1,0
383,1,-6,-1,2,23.484704,670.72338,188.34258,1,0
384,1,-6,-1,3,25.836613,685.96196,208.39179,1,0
385,1,-6,-1,4,28.218762,702.23556,227.66228,1,0
386,1,-6,-1,5,30.624514,719.61624,246.33453,1,0
387,1,-6,-1,6,33.049301,738.19727,264.58156,1,0
388,1,-6,-1,7,35.490255,758.09902,282.57508,1,0
389,1,-6,-1,8,37.945927,779.47607,300.49181,1,1
390,1,-6,0,-3,26.831014,564.71459,26.669999,1,0
391,1,-6,0,-2,27.774513,582.14033,58.108725,1,0
392,1,-6,0,-1,28.976926,599.0909,86.526192,1,0
393,1,-6,0,0,30.375837,615.94079,112.52511,1,0
394,1,-6,0,1,31.927282,632.94778,136.5622,1,0
395,1,-6,0,2,33.599367,650.30414,158.99829,1,0
396,1,-6,0,3,35.368529,668.16664,180.12921,1,0
397,1,-6,0,4,37.217189,686.67572,200.2061,1,0
398,1,-6,0,5,39.132207,705.96866,219.44974,1,1
399,1,-6,0,6,41.103814,726.18999,238.06121,1,19
400,1,-6,0,7,43.124867,747.50054,256.23066,1,19
401,1,-6,0,8,45.190305,770.08664,274.1451,1,19
402,1,-6,1,-2,45.24206,550.35892,13.415713,1,19
403,1,-6,1,-1,44.614114,574.61095,46.4164,1,19
404,1,-6,1,0,44.560873,596.90892,75.762143,1,19
405,1,-6,1,1,44.917639,618.13523,102.30947,1,19
406,1,-6,1,2,45.581209,638.85069,126.65635,1,19
407,1,-6,1,3,46.482559,659.44695,149.24867,1,19
408,1,-6,1,4,47.57341,680.22299,170.43672,1,19
409,1,-6,1,5,48.818916,701.4281,190.50846,1,19
410,1,-5,-5,-2,-14.768382,762.78861,258.81828,1,19
411,1,-5,-5,-1,-12.14749,762.8187,278.57707,1,19
412,1,-5,-5,0,-9.3802052,764.65766,297.79773,1,19
413,1,-5,-5,1,-6.4841291,768.2897,316.64423,1,1
414,1,-5,-5,2,-3.4768537,773.71159,335.27109,1,0
415,1,-5,-5,3,-0.37542412,780.93446,353.82998,1,0
416,1,-5,-5,4,2.8041512,789.98691,372.47598,1,0
417,1,-5,-4,-3,-15.804924,707.82976,215.38323,1,19
418,1,-5,-4,-2,-13.104223,707.62551,235.86349,1,19
419,1,-5,-4,-1,-10.246819,709.18539,255.55262,1,19
420,1,-5,-4,0,-7.2558036,712.48006,274.61953,1,1
421,1,-5,-4,1,-4.1540749,717.48498,293.2154,1,0
422,1,-5,-4,2,-0.96354396,724.1822,311.48072,1,0
423,1,-5,-4,3,2.2955528,732.56336,329.55149,1,0
424,1,-5,-4,4,5.6051807,742.63359,347.56474,1,0
425,1,-5,-4,5,8.9498537,754.41626,365.66398,1,0
426,1,-5,-4,6,12.316809,767.95868,384.00489,1,0
427,1,-5,-4,7,15.69603,783.33897,402.76174,1,0
428,1,-5,-3,-4,-15.397751,656.0935,168.31665,1,19
429,1,-5,-3,-3,-12.609494,656.15064,190.37971,1,19
430,1,-5,-3,-2,-9.6556605,657.96647,211.34855,1,19
431,1,-5,-3,-1,-6.5669186,661.50284,231.41641,1,1
432,1,-5,-3,0,-3.373037,666.71759,250.74828,1,0
433,1,-5,-3,1,-0.10172196,673.56785,269.49011,1,0
434,1,-5,-3,2,3.222285,682.01424,287.77618,1,0
435,1,-5,-3,3,6.5777888,692.02573,305.73517,1,0
436,1,-5,-3,4,9.9474029,703.58475,323.4953,1,0
437,1,-5,-3,5,13.317537,716.69234,341.18906,1,0
438,1,-5,-3,6,16.678185,731.37363,358.95791,1,0
439,1,-5,-3,7,20.022584,747.68365,376.95739,1,0
440,1,-5,-3,8,23.346822,765.71428,395.36317,1,0
441,1,-5,-3,9,26.649438,785.60282,414.37881,1,0
442,1,-5,-2,-6,-15.312606,604.34939,87.493091,1,19
