h,k,l,Iobs,sigma_I,Icalc,Fc_real_e,Fc_imag_e,d_A,in_final_refinement,cv_work_flag
2,0,19,1.835,1.539729531,1.197272217,16.92380487,14.55004934,0.87305281,0,1
2,0,20,-0.56375,1.278552569,0.9231650046,16.87112733,9.97212301,0.82950721,0,1
2,0,21,-2.257272727,1.256259698,0.3233720067,10.46918867,4.993334724,0.79009463,0,1
2,0,22,-1.980454545,1.425594959,0.02639693496,2.971283932,1.467577707,0.75425387,0,1
2,0,23,-1.895,1.612791317,0.0125929358,2.28893323,-0.003537403142,0.72152085,0,1
3,-1,0,17.8675,0.8134837794,4.109195889,29.58953978,-28.88026136,12.82793868,1,1
3,-1,1,83.82578947,2.307685926,300.8841491,-352.9529966,-24.60741446,10.15264339,1,1
3,-1,2,4.289761905,0.302143809,55.35804543,-151.1305237,-13.82035583,6.97149739,1,1
3,-1,3,3.983541667,0.3028394716,10.02555444,64.56501146,-1.562366211,5.08339031,1,1
3,-1,4,68.74833333,1.7329486,23.18413633,97.98459971,6.682961558,3.95066725,1,1
3,-1,5,0.315,0.3428261576,0.198601334,4.862810451,7.679854455,3.21591468,1,1
3,-1,6,0.250625,0.4338027061,0.03830689478,3.545916136,1.83408571,2.70603786,1,1
3,-1,7,1.273958333,0.424145756,0.8292970545,17.06346999,-7.339133202,2.33327519,1,1
3,-1,8,28.1415,0.987051892,27.59848448,-106.0673919,-15.22890541,2.04957753,1,1
3,-1,9,7.269444444,0.8059365,9.989172416,-61.77302041,-18.44014866,1.82674685,1,1
3,-1,10,3.24,0.6357067059,5.039334403,-42.82736088,-16.19898112,1.64724864,1,1
3,-1,11,0.7675,0.6146988084,1.897747166,-26.15148042,-10.27853453,1.49964614,1,1
3,-1,12,0.9256521739,0.6456803065,1.810729603,-27.19383053,-3.720290325,1.37617846,1,1
3,-1,13,1.130869565,0.6405743081,0.1986658715,-9.055793975,0.8040745825,1.27140133,1,1
3,-1,14,0.7463829787,0.852875065,0.024699757,2.405883344,2.1184748,1.18138654,1,1
3,-1,15,0.2675609756,0.7840308434,0.09340962461,6.192601813,0.7171395147,1.10323061,1,1
3,-1,16,0.230952381,0.7769872481,0.6002975534,-15.69137393,-1.879248166,1.03474218,1,1
3,-1,17,1.650263158,0.9232552255,0.0635605255,-3.133647158,-4.077289989,0.97423697,0,1
3,-1,18,-0.5397560976,0.8877824173,0.0972970808,-4.010788757,-4.938981323,0.92039948,0,1
3,-1,19,0.6983333333,0.9048743758,0.2028992052,-8.065297436,-4.400701647,0.87218753,0,1
3,-1,20,-0.03021276596,0.8889252046,0.1191391547,-6.356318593,-3.027286295,0.82876495,0,1
3,-1,21,0.96375,1.144392779,0.01184296267,-1.580779715,-1.558313439,0.78945314,0,1
3,-1,22,-0.7073170732,0.9432052319,0.0008847379095,0.3039682491,-0.5250657843,0.75369572,0,1
3,-1,23,0.64,1.16954318,0.01957672891,-2.852393646,-0.09300784646,0.72103222,0,1
3,-1,24,1.8,3.54908752,0.003808040878,1.252509729,-0.1246423117,0.69107829,0,1
3,0,0,253.083,13.40997901,1130.25004,-685.2973476,-24.54407098,11.31317852,1,1
3,0,1,40.50055556,1.669828482,20.31738267,-89.10171293,-22.66781887,9.35035373,1,1
3,0,2,2.714545455,0.4687321609,3.010414723,30.51266371,-17.92889611,6.69474624,1,1
3,0,3,0.6358333333,0.4238385309,0.6642391205,10.9287079,-12.52663967,4.97305189,1,1
3,0,4,8.20625,0.5646891045,5.06812403,-45.06314855,-8.824978846,3.89820094,1,1
3,0,5,0.36625,0.4891747756,0.2396294316,5.739424062,-8.170412217,3.18742415,1,1
3,0,6,2.0075,0.5298144002,1.315689573,-21.00420129,-10.30580336,2.68899774,1,1
3,0,7,19.69318182,1.019452636,19.93493933,-90.04190085,-13.64872574,2.32232503,1,0
3,0,8,0.6433333333,0.9548932459,0.674209201,-4.203723121,-16.21203479,2.04214369,1,1
3,0,9,6.878947368,1.09626983,8.393280851,-56.70782174,-16.61942833,1.82147770,1,1
3,0,10,5.442272727,0.8173403501,6.583730684,-50.2356008,-14.68034658,1.64338199,1,1
3,0,11,6.1355,0.9548759082,6.999306995,-52.76837567,-11.29270273,1.49672680,1,1
3,0,12,-0.05347826087,0.8484584041,2.339036913,-30.19663012,-7.829950002,1.37392140,1,1
3,0,13,1.506521739,0.9253624437,1.317397843,-22.77730552,-5.412127607,1.26962090,1,1
3,0,14,0.1465217391,1.220673469,0.4285694097,-12.59058835,-4.447610669,1.17995772,1,1
3,0,15,0.2557894737,1.135517327,0.7661361572,-17.24641595,-4.616085606,1.10206675,1,1
3,0,16,0.6695,1.371055965,0.08046130205,-2.534252412,-5.201258144,1.03378172,1,1
3,0,17,-0.5071428571,1.401350054,0.6761128447,-15.83545787,-5.525543906,0.97343521,0,1
3,0,18,-1.130952381,1.154825526,0.2100995786,-7.737055593,-5.248699623,0.91972334,0,1
3,0,19,-0.2875,1.145889317,0.04891123348,0.8873851242,-4.422874774,0.87161211,0,1
3,0,20,-1.137727273,1.227167672,0.03057224796,-1.229788398,-3.347693397,0.82827121,0,1
3,0,21,0.3176190476,1.270258781,0.08550103949,-5.479459513,-2.355377363,0.78902635,0,1
3,0,22,-3.603,1.322597539,0.06406737678,-4.891844227,-1.650688089,0.75332431,0,1
3,0,23,-0.4564285714,1.680415401,0.004409959684,0.4876507295,-1.26370028,0.72070701,0,1
4,-2,0,399.136,21.11623754,16.28537146,-44.25211979,69.40603067,9.79750000,1,1
4,-2,1,430.9015789,16.56902452,634.3587649,510.4646857,57.85836447,8.43881915,1,1
4,-2,2,112.6695238,4.174842265,273.8276377,336.3020023,28.73290585,6.33519925,1,1
4,-2,3,3.45,0.5375973117,1.285186909,22.72431713,-4.277965058,4.82023768,1,0
4,-2,4,149.5670833,5.170375467,76.98467749,-177.0234833,-26.30162915,3.82327895,1,0
4,-2,5,55.49043478,2.080758368,26.43186994,-100.8932574,-28.59016745,3.14607341,1,1
4,-2,6,5.9025,0.6172050871,6.197060498,-49.26543355,-12.29524407,2.66403058,1,1
4,-2,7,1.347,0.6262078329,1.534522963,21.66700822,12.99889783,2.30618507,1,1
4,-2,8,156.1635,6.02634095,139.0911103,238.0327152,34.76472366,2.03114305,1,1
4,-2,9,81.28625,3.705618306,73.62264642,169.4423999,43.81331156,1.81365876,1,1
4,-2,10,24.87647059,1.57756023,27.68687184,100.3384526,38.09434643,1.63763274,1,1
4,-2,11,4.654,0.958404211,5.564030443,42.54642651,22.46527495,1.49237958,1,1
4,-2,12,1.479130435,0.8705366313,4.019542086,40.56275548,5.193574236,1.37055654,1,1
4,-2,13,-0.06304347826,0.9617275782,0.1030758778,0.807508172,-6.498625473,1.26696424,1,1
4,-2,14,1.462727273,1.104649007,1.02063325,-18.29812845,-9.476700115,1.17782419,1,1
4,-2,15,-0.08,1.109858367,0.6449307101,-15.55295156,-5.140611677,1.10032785,1,1
4,-2,16,1.373684211,1.164322113,0.9917852035,20.17709945,2.347748365,1.03234603,1,1
4,-2,17,0.1244444444,1.22726573,0.4381559913,10.35555319,8.663435978,0.97223627,0,0
4,-2,18,2.529545455,1.1555528,0.8519801619,15.06861289,11.2871158,0.91871191,0,1
4,-2,19,0.40375,1.172700172,1.359465319,21.53999824,10.08103221,0.87075110,0,1
4,-2,20,0.1442857143,1.606453291,0.6995399566,15.73000481,6.603562883,0.82753226,0,1
4,-2,21,1.5205,1.358760363,0.05831419852,4.003808206,2.868945793,0.78838746,0,1
4,-2,22,2.296111111,1.457204537,0.01067467695,-2.084479727,0.3099840825,0.75276822,0,1
4,-2,23,0.6991666667,1.774305224,0.006065802994,1.453922578,-0.6401219266,0.72022003,0,1
4,-1,0,142.8704545,5.115462199,58.62320199,-154.4200734,-23.33088951,9.41313352,1,0
4,-1,1,49.57846154,1.377201042,3.811243239,36.03617227,-16.94234168,8.18946577,1,1
4,-1,2,37.1575,1.055304755,2.644465157,-33.1589859,-0.8355431765,6.22763512,1,1
4,-1,3,2.449791667,0.2946764351,5.368961087,-43.94756039,17.38796407,4.77234672,1,1
4,-1,4,1.370625,0.3656052989,12.26357285,65.07998783,29.44135223,3.79924879,1,1
4,-1,5,74.88354167,1.893492293,44.33500042,132.368227,30.39748774,3.13264338,1,1
4,-1,6,14.71958333,0.5666736749,16.93049593,81.30710143,20.8087304,2.65586147,1,1
4,-1,7,5.671904762,0.5189544611,4.165699766,-41.20425612,5.943718758,2.30087940,1,0
4,-1,8,7.177727273,0.5387668618,10.47517904,-65.62096619,-7.213497688,2.02751548,1,1
4,-1,9,15.63176471,0.8164895531,14.3698095,-76.14308436,-13.44313765,1.81107474,1,1
4,-1,10,1.39975,0.5812154291,1.155819165,-18.70713634,-11.44184524,1.63572969,1,1
4,-1,11,0.7992682927,0.5942877,0.5063158299,14.01651573,-3.76662328,1.49093890,1,1
4,-1,12,0.4364285714,0.6282928225,0.4805991599,13.20946214,5.045887678,1.36944040,1,1
4,-1,13,0.3704761905,0.6696324338,1.451533339,22.00640106,10.93716074,1.26608238,1,1
4,-1,14,1.521276596,0.698030632,1.970172333,25.96963979,12.05230836,1.17711558,1,1
4,-1,15,-0.3934210526,0.7863408895,0.8156229931,16.04248043,9.053987042,1.09975005,1,1
4,-1,16,0.883,0.7965241679,0.4640943534,13.24691957,4.195623008,1.03186880,1,0
4,-1,17,1.000789474,1.103670611,0.04223384579,-4.190582212,-0.1009982833,0.97183761,0,1
4,-1,18,0.6055555556,0.974704387,0.1823126196,-8.383359789,-2.359985288,0.91837551,0,1
4,-1,19,0.524375,0.8038566436,0.1686067301,-8.019382613,-2.416089354,0.87046467,0,1
4,-1,20,0.09333333333,0.980577745,0.06437522779,-5.062177967,-1.075799796,0.82728638,0,1
4,-1,21,-0.9229268293,0.9349035013,0.004323596489,-1.222038651,0.5526591996,0.78817484,0,1
4,-1,22,0.6307692308,0.977267723,0.02439831435,2.729561123,1.643256679,0.75258313,0,1
4,-1,23,0.09821428571,1.15172702,0.0721160103,5.134387055,1.908290942,0.72005792,0,1
4,0,0,639.08,30.81391883,1071.24305,665.1192868,57.45988089,8.48488389,1,1
4,0,1,87.78095238,3.258017357,7.870398523,-32.10486027,47.3678986,7.55609593,1,1
4,0,2,45.4245,1.80512188,49.39873571,141.6723858,21.93243208,5.93509837,1,1
4,0,3,69.45958333,2.466736485,31.53610613,114.3400594,-6.840303754,4.63680870,1,1
4,0,4,1.6675,0.4718817604,4.504868313,-34.67067858,-25.92627888,3.72978892,1,1
4,0,5,76.50375,2.73669791,46.79375146,-136.7524726,-27.6959756,3.09336230,1,1
4,0,6,16.01958333,1.01721335,16.61175527,-82.07713381,-13.21293503,2.63179780,1,1
4,0,7,36.9695,1.640192748,32.23242829,115.4456983,9.079153851,2.28517945,1,1
4,0,8,11.85916667,0.8767119726,18.91541853,84.11125364,28.19507252,2.01674831,1,1
4,0,9,91.020625,4.106148734,88.81488675,188.8019135,36.12237662,1.80338845,1,1
4,0,10,17.989,1.208827531,21.48603214,89.27410725,31.13341922,1.63006010,1,1
4,0,11,3.206363636,0.8899906477,3.268618206,32.4344782,17.5469898,1.48664177,1,1
4,0,12,-0.4594736842,0.9215222863,0.6474726171,16.20063255,2.630065252,1.36610827,1,1
4,0,13,1.06047619,0.9678231529,0.3340981338,-9.244074388,-7.317577694,1.26344782,1,1
4,0,14,0.8783333333,0.9704870627,1.530764123,-23.33363166,-9.612927617,1.17499740,1,1
4,0,15,-0.86,1.179987893,0.07577190854,-0.8586077675,-5.548631867,1.09802207,1,1
4,0,16,1.659,1.345690568,0.4910905084,-14.24422657,1.190695089,1.03044105,1,1
4,0,17,3.073636364,1.130572151,1.310371587,22.33129504,6.818122541,0.97064455,0,1
4,0,18,2.570909091,1.30985755,1.375223893,22.0962705,9.160231448,0.91736852,0,1
4,0,19,2.841666667,1.188816522,0.6164917366,13.79263554,8.139502625,0.86960706,0,1
4,0,20,0.4254545455,1.55550311,0.2353630062,8.448553193,5.15204313,0.82655006,0,1
4,0,21,-0.1622727273,1.288014165,0.09766923175,6.06239608,1.970316794,0.78753802,0,1
4,0,22,-0.5585,1.399080234,0.002359866644,0.9774127511,-0.162711423,0.75202868,0,1
4,0,23,-0.5938461538,1.691570469,0.1229592436,-7.096990608,-0.8884264286,0.71957225,0,1
5,-2,0,12.11458333,0.5711772673,66.10146449,165.2429541,-13.99818653,7.78626346,1,1
5,-2,1,33.40046512,0.9162944751,69.93177728,-169.9983676,-13.97571385,7.05008866,1,1
5,-2,2,20.68139535,0.6337511834,47.1663055,-139.3893793,-13.9250141,5.68025763,1,1
5,-2,3,15.31822222,0.5414112021,11.13736183,-66.6424044,-13.87204099,4.51219942,1,1
5,-2,4,4.362916667,0.3634113305,0.6099194983,-7.95512938,-13.80108213,3.66400456,1,1
5,-2,5,1.699791667,0.3614800666,3.358907991,-34.81117572,-13.62493615,3.05552277,1,1
5,-2,6,3.585,0.4311349034,3.610848621,-36.43806413,-13.21147074,2.60837659,1,1
5,-2,7,-0.10575,0.4362861751,0.4101705556,-3.925692988,-12.45946785,2.26979657,1,1
5,-2,8,8.506818182,0.6480959079,9.449277621,-61.65959537,-11.37624313,2.00615087,1,1
5,-2,9,1.587777778,0.5505950064,1.599762521,-23.73865744,-10.10194656,1.79579919,1,1
5,-2,10,1.909189189,0.7755913542,3.21283704,-35.47155197,-8.857412341,1.62444906,1,1
5,-2,11,2.529772727,0.5938274364,2.271941023,-29.72767756,-7.84186623,1.48238158,1,1
5,-2,12,1.027560976,0.6356546322,1.713672057,-25.72919861,-7.139538634,1.36280035,1,1
5,-2,13,0.1509090909,0.6590342844,0.6982898809,-15.67745098,-6.688612475,1.26082964,1,0
5,-2,14,1.340638298,0.8105903677,0.5450393124,-13.66484695,-6.327150464,1.17289061,1,1
5,-2,15,-0.295,0.7994005748,0.2982419475,-9.457511322,-5.885367237,1.09630222,1,1
5,-2,16,1.946216216,0.8339854327,0.8452715454,-17.99704936,-5.2704085,1.02901922,1,1
5,-2,17,-0.4694871795,0.8344534878,0.07191897787,-3.10941267,-4.500342569,0.96945588,0,1
5,-2,18,0.5719565217,0.9829393767,0.04323319031,-2.112133665,-3.6777498,0.91636483,0,1
5,-2,19,0.640625,0.8061411425,0.07270181833,-4.65614889,-2.927030024,0.86875197,0,0
5,-2,20,-0.5218604651,0.8837938464,0.0518256182,-4.014241185,-2.334021527,0.82581570,0,1
5,-2,21,1.455116279,0.9808944193,0.01324474377,-1.354449919,-1.917257078,0.78690273,0,1
5,-2,22,0.932,1.251264087,0.009764189021,-1.175396375,-1.63731038,0.75147545,0,1
5,-2,23,-1.041666667,1.229223516,0.04010204387,-3.826191552,-1.429864551,0.71908756,0,1
5,-1,0,3.596666667,0.3454701909,3.79704922,35.32069077,-18.226138,7.40621385,1,1
5,-1,1,9.30025,0.4008282271,0.5056711115,-0.3472743418,-14.50039078,6.76425272,1,1
5,-1,2,28.23923077,0.8543148402,54.32796622,-150.2556636,-5.110157113,5.52753710,1,1
5,-1,3,13.085,0.4810330232,3.226490093,-36.22169726,5.509417839,4.43449940,1,1
5,-1,4,21.16583333,0.651940413,9.000956519,59.89625629,12.53959105,3.62203409,1,1
5,-1,5,0.3708333333,0.3779086761,1.791434118,23.92807056,13.14399591,3.03105448,1,1
5,-1,6,7.12893617,0.4495092641,4.326421434,41.72293689,7.693016163,2.59310543,1,1
5,-1,7,1.728421053,0.5675537744,1.435031128,24.42407842,-0.7084519331,2.25971223,1,1
5,-1,8,1.568181818,0.46895859,1.359817175,-22.4008793,-7.996607328,1.99917802,1,1
5,-1,9,9.963235294,0.7828881491,13.71133738,-74.69580541,-11.18346417,1.79079260,1,1
5,-1,10,2.626486486,0.6193894706,2.896150866,-33.36089915,-9.590592514,1.62074040,1,1
5,-1,11,0.07720930233,0.5770289057,0.06646650337,-2.194355763,-4.778897204,1.47956172,1,1
5,-1,12,-0.3935714286,0.6273353196,0.05816423898,-4.884870859,0.5804971034,1.36060837,1,1
5,-1,13,1.03673913,0.6658252701,0.3130560738,10.63188731,4.148298817,1.25909320,1,1
5,-1,14,-0.2804347826,0.772888175,0.6266346556,15.38355191,4.904542726,1.17149236,1,1
5,-1,15,1.022045455,0.728369911,0.1297995126,6.567324299,3.29737599,1.09516013,1,1
5,-1,16,-1.808536585,0.7834767387,0.06093373137,4.989882549,0.6724922186,1.02807459,1,1
5,-1,17,0.05744186047,0.7810505538,0.03566440015,-3.518793051,-1.5671919,0.96866586,0,1
5,-1,18,-0.04727272727,0.9101198353,0.1678266014,-7.941157235,-2.600276604,0.91569754,0,1
5,-1,19,0.355,0.834756142,0.1605054027,-7.818674216,-2.376089662,0.86818332,0,1
5,-1,21,-1.142619048,0.9375765743,0.0004129128703,0.2757599211,-0.3094297929,0.78648006,0,1
5,-1,22,0.3902564103,0.9888974728,0.003126599256,1.062229735,0.4152998251,0.75110731,0,0
5,-1,23,0.3917391304,1.294836627,0.009335591622,1.86569411,0.6349894541,0.71876497,0,1
5,0,0,165.3841667,8.036092714,404.9051239,-410.4344936,-1.50815554,6.78790711,1,1
5,0,1,16.12045455,0.7308495849,14.82500551,78.38206163,-4.911382267,6.28346666,1,1
5,0,2,53.13052632,2.159501071,19.67585474,89.46169143,-13.51467883,5.25574946,1,1
5,0,3,30.30318182,1.241617181,18.64850753,-84.94486604,-23.3020998,4.29042830,1,1
5,0,4,189.3640909,6.833852945,72.23574413,-170.7735674,-29.82797471,3.54224598,1,1
5,0,5,1.98625,0.6073483626,10.98516217,-60.41932992,-30.32863747,2.98383113,1,1
5,0,6,14.05125,0.8657130998,10.35231318,-60.72372544,-24.8929146,2.56335088,1,1
5,0,7,26.6315,1.303261965,25.62648022,-101.9818658,-16.16996415,2.23994033,1,0
5,0,8,1.133043478,0.8884677121,0.4115996161,10.44234847,-7.886781118,1.98544771,1,1
5,0,9,-0.2172222222,0.8019049465,0.3113690963,-10.97101432,-3.029917015,1.78090376,1,1
5,0,10,-0.6571428571,0.7819025869,0.5151955868,-14.40425076,-2.61956151,1.61339865,1,1
5,0,11,0.1227272727,0.8042331186,2.172365325,-29.5399114,-5.58527921,1.47396995,1,1
5,0,12,1.246842105,0.9161667402,1.023880966,-18.25599072,-9.628050097,1.35625596,1,0
5,0,13,0.4847619048,1.272582792,2.432048258,-29.25730165,-12.48406154,1.25564174,1,1
5,0,14,0.9790909091,1.33391052,2.553959598,-29.92965196,-12.91425678,1.16871081,1,1
5,0,15,2.01047619,1.265259333,2.181848002,-28.04465096,-11.01110719,1.09288662,1,1
5,0,16,-0.7945,1.117655918,0.2831465207,-7.513611813,-7.83245356,1.02619311,1,1
5,0,17,1.575909091,1.124819086,0.4686367454,-13.15056275,-4.694323082,0.96709158,0,1
5,0,18,-1.797619048,1.133942513,0.02958162761,-2.423173782,-2.536832035,0.91436731,0,1
5,0,19,0.07181818182,1.302561352,0.0481153667,4.164739611,-1.634962143,0.86704935,0,1
5,0,20,1.822727273,1.29189233,0.007465400315,0.5063876172,-1.688050348,0.82435284,0,1
5,0,21,1.853478261,1.261431809,0.06747370288,-4.849724548,-2.133604418,0.78563676,0,0
5,0,22,-1.717777778,1.457149784,0.06703679551,-4.666476597,-2.472714916,0.75037265,0,1
5,0,23,1.226666667,1.765596571,0.01744939377,-1.107044731,-2.456457777,0.71812111,0,1
6,-3,0,33.55,1.747116275,94.7422599,-198.1809383,-11.88941731,6.53166667,1,1
6,-3,1,27.83909091,1.114604959,0.376291886,-11.72181497,-4.376460635,6.07857234,1,1
