run,h,k,l,omega,x,y,module,Linv,P,edge,Iunscaled,sigmaunscaled,Iscaled,z
3,3,3,1,24.143526,289.81321,572.58303,0,0.33647504,0.87572519,0,0.072042088,1.5678605,0.067447422,-18.794327
3,4,3,-1,32.977615,293.50399,654.42779,0,0.30908138,0.83148269,0,-0.47268501,1.116423,-0.44253834,-15.67586
3,4,3,1,14.685773,292.73849,653.70649,0,0.31054488,0.83148269,0,0.046109047,1.392539,0.043168326,-15.556003
3,4,3,2,6.3791846,284.6879,652.93974,0,0.32407598,0.82741552,0,-0.63270187,1.2825722,-0.59234971,-8.1457736
4,-2,-1,-4,16.517588,156.53543,414.01644,0,0.34525309,0.93815237,0,-1.8307526,2.3883168,-1.6200724,-23.424736
4,-1,-3,-6,18.794388,139.98102,563.46408,0,0.35368227,0.87719895,0,-0.39043571,1.5935487,-0.34550497,-11.994841
4,-1,-2,-7,1.861909,140.33908,538.88063,0,0.35849606,0.88921704,0,1.867801,1.950829,1.6528573,-14.86457
5,0,1,-6,-51.285831,290.4097,381.487,0,0.3604313,0.93504417,0,1.4704959,1.5751026,1.4310513,-11.697396
5,0,2,-6,-68.391659,263.70921,381.78023,0,0.41125099,0.91543514,0,-4.1603622,2.0998853,-4.0487644,-23.897125
5,0,2,-5,-72.053287,286.54674,381.73231,0,0.36782753,0.93235038,0,2.6400344,1.8675874,2.5692179,-14.883388
5,1,2,-5,-73.187107,286.14995,441.54522,0,0.36582373,0.92538645,0,-2.3355406,2.3049449,-2.2728919,-20.987164
5,2,0,-6,-36.669309,298.47863,503.9693,0,0.3345486,0.91386435,0,-1.543102,1.5643408,-1.5017097,-14.690684
5,2,1,-6,-55.979603,288.61783,504.01311,0,0.35283269,0.90744071,0,0.48479675,1.8226911,0.47179253,-18.265123
5,3,1,-6,-62.130071,287.81494,573.09844,0,0.33989233,0.87420855,0,-0.40320005,1.6176785,-0.39238459,-15.879638
5,3,2,-5,-82.772795,283.98315,573.26569,0,0.34663077,0.8717105,0,-0.66524153,1.6044036,-0.64739705,-18.824612
5,4,1,-6,-71.285499,290.81287,654.31636,0,0.31356382,0.83005824,0,0.64359322,1.3895447,0.62632943,-15.876359
6,-1,0,7,-80.833272,262.6781,381.41393,0,0.4131963,0.91463411,0,-4.4897265,1.9832223,-4.2986505,-9.1711098
6,-1,2,5,-43.219657,278.66836,407.78346,0,0.38232479,0.92538645,0,108.19468,7.0688775,103.59008,-17.019865
6,0,2,6,-52.833018,282.47106,469.71405,0,0.36958192,0.91543514,0,51.470832,5.2652719,49.280311,-23.551014
6,1,1,7,-80.244984,295.45284,512.91653,0,0.33863987,0.90820448,0,-1.589963,1.6517376,-1.5222965,-20.236631
6,1,2,7,-65.461241,282.34681,536.1671,0,0.35809982,0.88921704,0,-2.8995381,1.9093893,-2.7761381,-14.824582
6,1,3,5,-39.938184,293.77876,543.00718,0,0.33593478,0.89332493,0,0.45831085,1.590347,0.43880583,-7.9516688
