trial,iteration,modulus_R,approximate_model_R
3.000000000000000000e+00,9.900000000000000000e+01,6.332669656196598940e-01,6.137912544826739092e-01
3.000000000000000000e+00,1.990000000000000000e+02,6.156977497327422721e-01,6.412239542514772683e-01
3.000000000000000000e+00,2.990000000000000000e+02,6.368735413548261004e-01,6.505420980012831533e-01
3.000000000000000000e+00,3.990000000000000000e+02,6.118769361865459278e-01,6.224067566916478000e-01
3.000000000000000000e+00,4.990000000000000000e+02,6.235525826106860237e-01,6.140305399645882289e-01
3.000000000000000000e+00,5.990000000000000000e+02,6.239985122475650847e-01,6.485290469750146780e-01
3.000000000000000000e+00,6.990000000000000000e+02,6.311654842060387960e-01,6.184006784988266281e-01
3.000000000000000000e+00,7.990000000000000000e+02,6.206930107064410063e-01,6.177960774089762408e-01
3.000000000000000000e+00,8.990000000000000000e+02,6.215521323556650879e-01,6.331395560073658224e-01
4.000000000000000000e+00,9.900000000000000000e+01,6.183738961712502702e-01,6.243854358357256995e-01
4.000000000000000000e+00,1.990000000000000000e+02,6.204524981699003350e-01,6.244085090174499308e-01
4.000000000000000000e+00,2.990000000000000000e+02,6.165942027081859900e-01,6.315982054160693693e-01
4.000000000000000000e+00,3.990000000000000000e+02,6.179434963074326159e-01,6.225400555162554639e-01
4.000000000000000000e+00,4.990000000000000000e+02,6.166058291073764908e-01,6.332004481456587897e-01
4.000000000000000000e+00,5.990000000000000000e+02,6.069990187425022832e-01,6.400678942890739576e-01
4.000000000000000000e+00,6.990000000000000000e+02,6.114544487829458586e-01,5.887418066765330860e-01
4.000000000000000000e+00,7.990000000000000000e+02,6.142629288260718079e-01,6.582777932913401742e-01
4.000000000000000000e+00,8.990000000000000000e+02,6.255308224952603746e-01,6.375751091911942003e-01
5.000000000000000000e+00,9.900000000000000000e+01,4.817120078372645331e-01,3.595616622116757366e-01
5.000000000000000000e+00,1.990000000000000000e+02,4.594195823261648104e-01,3.595616622116759031e-01
5.000000000000000000e+00,2.990000000000000000e+02,4.646210335554066262e-01,3.595616622116759586e-01
5.000000000000000000e+00,3.990000000000000000e+02,4.768625041569610756e-01,3.620132736989052358e-01
5.000000000000000000e+00,4.990000000000000000e+02,4.806130455803586665e-01,3.595616622116757921e-01
5.000000000000000000e+00,5.990000000000000000e+02,4.721827115068338854e-01,3.595616622116757921e-01
5.000000000000000000e+00,6.990000000000000000e+02,4.715989300176056664e-01,3.595616622116761807e-01
5.000000000000000000e+00,7.990000000000000000e+02,4.861200513885557406e-01,3.684658326439888554e-01
5.000000000000000000e+00,8.990000000000000000e+02,4.772141976571636079e-01,3.595616622116759586e-01
6.000000000000000000e+00,9.900000000000000000e+01,6.320738998626586058e-01,6.164182045993307213e-01
6.000000000000000000e+00,1.990000000000000000e+02,5.357188800897203507e-01,4.920031717639813396e-01
6.000000000000000000e+00,2.990000000000000000e+02,5.303553250851279488e-01,4.836679857064473120e-01
6.000000000000000000e+00,3.990000000000000000e+02,5.433914243600352911e-01,5.304721104232997808e-01
6.000000000000000000e+00,4.990000000000000000e+02,4.707152285037345396e-01,3.595616622116757366e-01
6.000000000000000000e+00,5.990000000000000000e+02,4.548286201889260583e-01,3.595616622116757366e-01
6.000000000000000000e+00,6.990000000000000000e+02,4.649371636562371068e-01,3.907128231901955129e-01
6.000000000000000000e+00,7.990000000000000000e+02,4.693980090899217972e-01,3.595616622116757921e-01
6.000000000000000000e+00,8.990000000000000000e+02,4.646391079854085282e-01,3.595616622116756811e-01
7.000000000000000000e+00,9.900000000000000000e+01,6.440056467528082473e-01,6.330384856625164147e-01
7.000000000000000000e+00,1.990000000000000000e+02,6.305617036482720206e-01,6.329244878565175592e-01
7.000000000000000000e+00,2.990000000000000000e+02,6.193438723067068441e-01,6.556201410293549525e-01
7.000000000000000000e+00,3.990000000000000000e+02,6.415451939676174442e-01,6.410457229379574740e-01
7.000000000000000000e+00,4.990000000000000000e+02,4.585888371355876236e-01,3.819723279305852759e-01
7.000000000000000000e+00,5.990000000000000000e+02,4.558695094033524686e-01,3.595616622116756811e-01
7.000000000000000000e+00,6.990000000000000000e+02,4.789384963491619129e-01,3.843681544819425033e-01
7.000000000000000000e+00,7.990000000000000000e+02,4.551398662692083263e-01,3.769903510989142670e-01
7.000000000000000000e+00,8.990000000000000000e+02,4.411160731464573992e-01,3.798221206124214877e-01
8.000000000000000000e+00,9.900000000000000000e+01,6.235348179095356880e-01,6.345691381516245233e-01
8.000000000000000000e+00,1.990000000000000000e+02,6.456699907625225165e-01,6.288709603284239336e-01
8.000000000000000000e+00,2.990000000000000000e+02,6.184010430949127279e-01,6.367280679770658258e-01
8.000000000000000000e+00,3.990000000000000000e+02,6.319660875219226259e-01,6.471397148553887924e-01
8.000000000000000000e+00,4.990000000000000000e+02,6.236158504980434669e-01,6.708752807956002151e-01
8.000000000000000000e+00,5.990000000000000000e+02,6.274901025016760281e-01,6.226436457576840500e-01
8.000000000000000000e+00,6.990000000000000000e+02,6.050508985517040195e-01,6.312473882671473246e-01
8.000000000000000000e+00,7.990000000000000000e+02,6.340212802596016939e-01,6.062043201782184587e-01
8.000000000000000000e+00,8.990000000000000000e+02,6.157829604740328033e-01,6.593520910162442572e-01
9.000000000000000000e+00,9.900000000000000000e+01,6.195468928167441325e-01,6.266212279027247867e-01
9.000000000000000000e+00,1.990000000000000000e+02,6.180623134279370490e-01,6.199069459489163769e-01
9.000000000000000000e+00,2.990000000000000000e+02,6.055243300441012222e-01,6.222882241776479528e-01
9.000000000000000000e+00,3.990000000000000000e+02,6.250904763042091083e-01,6.377539528475861808e-01
9.000000000000000000e+00,4.990000000000000000e+02,6.119697119255087525e-01,6.497581444578948151e-01
9.000000000000000000e+00,5.990000000000000000e+02,6.366375531213551708e-01,5.962238655899789741e-01
9.000000000000000000e+00,6.990000000000000000e+02,6.115797421529439726e-01,6.563239084760679187e-01
9.000000000000000000e+00,7.990000000000000000e+02,6.396719055919040109e-01,6.124195335043285393e-01
9.000000000000000000e+00,8.990000000000000000e+02,6.330943126434295243e-01,6.505292945584786324e-01
1.000000000000000000e+01,9.900000000000000000e+01,5.311010604160611992e-01,5.198940217318582802e-01
1.000000000000000000e+01,1.990000000000000000e+02,5.378664338211663898e-01,4.938901223902578685e-01
1.000000000000000000e+01,2.990000000000000000e+02,5.379652256288957046e-01,4.938901223902579796e-01
1.000000000000000000e+01,3.990000000000000000e+02,5.560596468676941573e-01,4.981048588094958984e-01
1.000000000000000000e+01,4.990000000000000000e+02,5.418750479447259627e-01,5.003632813479942376e-01
1.000000000000000000e+01,5.990000000000000000e+02,5.401382225348654309e-01,5.003632813479944597e-01
1.000000000000000000e+01,6.990000000000000000e+02,5.389463286337589087e-01,5.316115738393423218e-01
1.000000000000000000e+01,7.990000000000000000e+02,5.628868600325868110e-01,5.580657750932118688e-01
1.000000000000000000e+01,8.990000000000000000e+02,5.524945858476643101e-01,5.269520541043036799e-01
1.100000000000000000e+01,9.900000000000000000e+01,5.463774816434447956e-01,5.064589663109493323e-01
1.100000000000000000e+01,1.990000000000000000e+02,5.465702285591994558e-01,4.905520633853979739e-01
1.100000000000000000e+01,2.990000000000000000e+02,5.350280460125746984e-01,5.084098270684705989e-01
1.100000000000000000e+01,3.990000000000000000e+02,5.187815222415920191e-01,5.077373404586881245e-01
1.100000000000000000e+01,4.990000000000000000e+02,5.333283386038639717e-01,5.057531185281877173e-01
1.100000000000000000e+01,5.990000000000000000e+02,5.450245638759930733e-01,5.268764697416317144e-01
1.100000000000000000e+01,6.990000000000000000e+02,5.242326370374206235e-01,4.938901223902577020e-01
1.100000000000000000e+01,7.990000000000000000e+02,5.696548476048640675e-01,5.129666307139509884e-01
1.100000000000000000e+01,8.990000000000000000e+02,5.598797168758286036e-01,5.182530647868950346e-01
1.200000000000000000e+01,9.900000000000000000e+01,4.490186130836811285e-01,3.769903510989142670e-01
1.200000000000000000e+01,1.990000000000000000e+02,4.462246613610910129e-01,3.684658326439890219e-01
1.200000000000000000e+01,2.990000000000000000e+02,4.465331359194782412e-01,3.595616622116759031e-01
1.200000000000000000e+01,3.990000000000000000e+02,4.419232696145983796e-01,3.595616622116757366e-01
1.200000000000000000e+01,4.990000000000000000e+02,4.558904222388757699e-01,3.595616622116758476e-01
1.200000000000000000e+01,5.990000000000000000e+02,4.451348651447754046e-01,3.595616622116756811e-01
1.200000000000000000e+01,6.990000000000000000e+02,4.489129532202568162e-01,3.659915253577518124e-01
1.200000000000000000e+01,7.990000000000000000e+02,4.487391606412366452e-01,3.595616622116758476e-01
1.200000000000000000e+01,8.990000000000000000e+02,4.560838389417154470e-01,3.595616622116757366e-01
1.300000000000000000e+01,9.900000000000000000e+01,6.383459522210015447e-01,6.272884077135922887e-01
1.300000000000000000e+01,1.990000000000000000e+02,6.310095205211139202e-01,6.262805702440970013e-01
1.300000000000000000e+01,2.990000000000000000e+02,6.312306824906882552e-01,6.223925734360248319e-01
1.300000000000000000e+01,3.990000000000000000e+02,6.206847440564976504e-01,6.102884191184031470e-01
1.300000000000000000e+01,4.990000000000000000e+02,6.059938167165993539e-01,6.109683573828418313e-01
1.300000000000000000e+01,5.990000000000000000e+02,6.120682181257457444e-01,6.010322938176693164e-01
1.300000000000000000e+01,6.990000000000000000e+02,6.147125743506288709e-01,6.279127924735934396e-01
1.300000000000000000e+01,7.990000000000000000e+02,6.258620905701842707e-01,6.302553547050079308e-01
1.300000000000000000e+01,8.990000000000000000e+02,6.051808302459388278e-01,6.346188049998856551e-01
1.400000000000000000e+01,9.900000000000000000e+01,6.028790926804841188e-01,6.312818677397793454e-01
1.400000000000000000e+01,1.990000000000000000e+02,6.160638698896246934e-01,6.105205261973665198e-01
1.400000000000000000e+01,2.990000000000000000e+02,6.183135229700418289e-01,6.319739353379733027e-01
1.400000000000000000e+01,3.990000000000000000e+02,6.026683940536189388e-01,6.544406393050725690e-01
1.400000000000000000e+01,4.990000000000000000e+02,6.235313735193969142e-01,6.180939358739936385e-01
1.400000000000000000e+01,5.990000000000000000e+02,6.054455368329494380e-01,6.414782875751383617e-01
1.400000000000000000e+01,6.990000000000000000e+02,6.189045832334995056e-01,6.317787357884417920e-01
1.400000000000000000e+01,7.990000000000000000e+02,6.077922027595661358e-01,6.314817671262138443e-01
1.400000000000000000e+01,8.990000000000000000e+02,6.129475609291564764e-01,5.765397264036987712e-01
1.500000000000000000e+01,9.900000000000000000e+01,4.743363436932851451e-01,3.684658326439891884e-01
1.500000000000000000e+01,1.990000000000000000e+02,4.741307645519214908e-01,3.595616622116756811e-01
1.500000000000000000e+01,2.990000000000000000e+02,4.651432554854564860e-01,3.595616622116758476e-01
1.500000000000000000e+01,3.990000000000000000e+02,4.616054032145024966e-01,3.684658326439890219e-01
1.500000000000000000e+01,4.990000000000000000e+02,4.621202514922606586e-01,3.595616622116757921e-01
1.500000000000000000e+01,5.990000000000000000e+02,4.508373201658408824e-01,3.659915253577518679e-01
1.500000000000000000e+01,6.990000000000000000e+02,4.700488516194733513e-01,3.620132736989049582e-01
1.500000000000000000e+01,7.990000000000000000e+02,4.578291372213905142e-01,3.684658326439890219e-01
1.500000000000000000e+01,8.990000000000000000e+02,4.629932835376286970e-01,3.620132736989048472e-01
1.600000000000000000e+01,9.900000000000000000e+01,5.720178641353123039e-01,5.532162065477481683e-01
1.600000000000000000e+01,1.990000000000000000e+02,5.417622132110173627e-01,5.327285545094270214e-01
1.600000000000000000e+01,2.990000000000000000e+02,5.436655037211622910e-01,5.465720147543011720e-01
1.600000000000000000e+01,3.990000000000000000e+02,5.720040160011514718e-01,5.358904165137061693e-01
1.600000000000000000e+01,4.990000000000000000e+02,5.502815221909558296e-01,5.397460052773528361e-01
1.600000000000000000e+01,5.990000000000000000e+02,5.568671466341372778e-01,5.214919691349113595e-01
1.600000000000000000e+01,6.990000000000000000e+02,5.584783166034916757e-01,5.459480053246361653e-01
1.600000000000000000e+01,7.990000000000000000e+02,5.528645469231874277e-01,5.219172669418689070e-01
1.600000000000000000e+01,8.990000000000000000e+02,5.625858265398014924e-01,5.479077471836866220e-01
1.700000000000000000e+01,9.900000000000000000e+01,6.075081785212446128e-01,6.026219683697594531e-01
1.700000000000000000e+01,1.990000000000000000e+02,6.246028101428010570e-01,6.520326362681784227e-01
1.700000000000000000e+01,2.990000000000000000e+02,6.302151266967643828e-01,6.055998853771694668e-01
1.700000000000000000e+01,3.990000000000000000e+02,6.428168731786193524e-01,6.251097822459902309e-01
1.700000000000000000e+01,4.990000000000000000e+02,6.299202721389491888e-01,6.427254065588244858e-01
1.700000000000000000e+01,5.990000000000000000e+02,5.580314229545216831e-01,5.417968769240203430e-01
1.700000000000000000e+01,6.990000000000000000e+02,5.743272418806339985e-01,5.358904165137060582e-01
1.700000000000000000e+01,7.990000000000000000e+02,5.565444108976073112e-01,5.243310814426062061e-01
1.700000000000000000e+01,8.990000000000000000e+02,5.516804831217747562e-01,5.486833872554791602e-01
1.800000000000000000e+01,9.900000000000000000e+01,6.308949871958128286e-01,6.291789234970136535e-01
1.800000000000000000e+01,1.990000000000000000e+02,6.336712245659171794e-01,6.179143625363215930e-01
1.800000000000000000e+01,2.990000000000000000e+02,6.365481729470852112e-01,6.386043742790520339e-01
1.800000000000000000e+01,3.990000000000000000e+02,6.285950723322561995e-01,6.159956422004960741e-01
1.800000000000000000e+01,4.990000000000000000e+02,6.431954578687273383e-01,6.177184994353365211e-01
1.800000000000000000e+01,5.990000000000000000e+02,6.414923268831558278e-01,6.346564530343392629e-01
1.800000000000000000e+01,6.990000000000000000e+02,6.336817863843633436e-01,5.902463837298790317e-01
1.800000000000000000e+01,7.990000000000000000e+02,6.490674970036725000e-01,6.369854341456051561e-01
1.800000000000000000e+01,8.990000000000000000e+02,6.242012941010883775e-01,6.292438829177996462e-01
1.900000000000000000e+01,9.900000000000000000e+01,6.061681158126488445e-01,6.444063411780673878e-01
1.900000000000000000e+01,1.990000000000000000e+02,6.180276615709685561e-01,6.390665693912211953e-01
1.900000000000000000e+01,2.990000000000000000e+02,6.119851064610799529e-01,6.253088775371244967e-01
1.900000000000000000e+01,3.990000000000000000e+02,6.173436847749764755e-01,6.345537077766794098e-01
1.900000000000000000e+01,4.990000000000000000e+02,6.287609152266264712e-01,6.246023222369163630e-01
1.900000000000000000e+01,5.990000000000000000e+02,6.114585979255031667e-01,6.449116172746707232e-01
1.900000000000000000e+01,6.990000000000000000e+02,6.044714667500115102e-01,6.204446896656654609e-01
1.900000000000000000e+01,7.990000000000000000e+02,6.099522105039200115e-01,6.233313390791327402e-01
1.900000000000000000e+01,8.990000000000000000e+02,6.166185521765625843e-01,6.181967245599756522e-01
2.000000000000000000e+01,9.900000000000000000e+01,4.618242406370746678e-01,3.595616622116757921e-01
2.000000000000000000e+01,1.990000000000000000e+02,4.620625947354153329e-01,3.595616622116755146e-01
2.000000000000000000e+01,2.990000000000000000e+02,4.605554622665834485e-01,3.595616622116757921e-01
2.000000000000000000e+01,3.990000000000000000e+02,4.630499136167315899e-01,3.595616622116757366e-01
2.000000000000000000e+01,4.990000000000000000e+02,4.637700146336539153e-01,3.986632550126673058e-01
2.000000000000000000e+01,5.990000000000000000e+02,4.668995176632316224e-01,3.595616622116757366e-01
2.000000000000000000e+01,6.990000000000000000e+02,4.587130626936609668e-01,3.684658326439890219e-01
2.000000000000000000e+01,7.990000000000000000e+02,4.539660671754313093e-01,3.595616622116757366e-01
2.000000000000000000e+01,8.990000000000000000e+02,4.753815298846836845e-01,3.595616622116759031e-01
2.100000000000000000e+01,9.900000000000000000e+01,6.374620743912429166e-01,6.283936267865354308e-01
2.100000000000000000e+01,1.990000000000000000e+02,4.955639591665071952e-01,4.378014835955138517e-01
2.100000000000000000e+01,2.990000000000000000e+02,4.594990080893717743e-01,3.684658326439890219e-01
2.100000000000000000e+01,3.990000000000000000e+02,4.755522996236001276e-01,3.659915253577517569e-01
2.100000000000000000e+01,4.990000000000000000e+02,4.622061572404834728e-01,4.018736669056126587e-01
2.100000000000000000e+01,5.990000000000000000e+02,4.678074454782994440e-01,3.769903510989145445e-01
2.100000000000000000e+01,6.990000000000000000e+02,4.463205638929772512e-01,3.595616622116760142e-01
2.100000000000000000e+01,7.990000000000000000e+02,4.785837409945332688e-01,3.684658326439888554e-01
2.100000000000000000e+01,8.990000000000000000e+02,4.610738529812927755e-01,3.684658326439890219e-01
2.200000000000000000e+01,9.900000000000000000e+01,6.397289197441302644e-01,6.300563033251408429e-01
2.200000000000000000e+01,1.990000000000000000e+02,6.265528076908202237e-01,6.105916471574613924e-01
2.200000000000000000e+01,2.990000000000000000e+02,4.351922439728251324e-01,3.802051714322914888e-01
2.200000000000000000e+01,3.990000000000000000e+02,4.627278593682196961e-01,3.802051714322914888e-01
2.200000000000000000e+01,4.990000000000000000e+02,4.373422010753554301e-01,3.744527460640546535e-01
2.200000000000000000e+01,5.990000000000000000e+02,4.452698796113794266e-01,3.659915253577519234e-01
2.200000000000000000e+01,6.990000000000000000e+02,4.387554726175455500e-01,3.769903510989142670e-01
2.200000000000000000e+01,7.990000000000000000e+02,4.470074487499358096e-01,3.872249462068184100e-01
2.200000000000000000e+01,8.990000000000000000e+02,4.500184946207282377e-01,3.769903510989141004e-01
2.300000000000000000e+01,9.900000000000000000e+01,6.121325709968964413e-01,6.154280975259164288e-01
2.300000000000000000e+01,1.990000000000000000e+02,4.229573224323880387e-01,3.595616622116756256e-01
2.300000000000000000e+01,2.990000000000000000e+02,4.295096201462071939e-01,3.595616622116757366e-01
2.300000000000000000e+01,3.990000000000000000e+02,4.402305924870836829e-01,3.595616622116760142e-01
2.300000000000000000e+01,4.990000000000000000e+02,4.232279091140793148e-01,3.769903510989141560e-01
2.300000000000000000e+01,5.990000000000000000e+02,4.505536236876401257e-01,3.595616622116758476e-01
2.300000000000000000e+01,6.990000000000000000e+02,4.442221178224300404e-01,3.769903510989143225e-01
2.300000000000000000e+01,7.990000000000000000e+02,4.378575010468080952e-01,3.595616622116757366e-01
2.300000000000000000e+01,8.990000000000000000e+02,4.345307605487416791e-01,3.744527460640545979e-01
