h,k,l,I,sigma,multiplicity,d,absent_P212121
1,3,2,64.684513,2.3382036,6,1.7995378,0
1,3,3,543.09209,9.3054616,8,1.7103028,0
1,3,4,112.03432,4.639659,6,1.6050847,0
1,3,5,30.651979,1.1474744,11,1.4945877,0
1,3,6,68.55466,1.9794458,11,1.3862043,0
1,3,7,193.68399,3.6860755,12,1.284189,0
1,3,8,49.297969,1.5861156,13,1.1905031,0
1,3,9,410.09878,8.0361179,8,1.1056743,0
1,3,10,34.678876,2.3166434,7,1.0294363,0
1,3,11,52.190641,2.2585545,8,0.96113991,0
1,3,12,58.929911,3.0873391,6,0.89999144,0
1,3,13,74.05245,4.2719273,5,0.84518106,0
1,3,14,27.971598,2.5901348,5,0.79594614,0
1,3,15,2.6829428,2.4898812,1,0.75159772,0
1,4,0,4.8709447,1.7561196,4,1.4451851,0
1,4,1,168.0541,4.6861615,6,1.4353075,0
1,4,2,36.318856,1.7606523,8,1.406847,0
1,4,3,163.12492,4.0763576,8,1.3629572,0
1,4,4,23.199256,1.474812,8,1.3078843,0
1,4,5,59.499201,2.0573672,9,1.2459973,0
1,4,6,39.809947,1.5326498,11,1.1810901,0
1,4,7,306.73882,7.6066295,6,1.1160648,0
1,4,8,46.749871,2.2126972,7,1.0529131,0
1,4,9,3.9913381,0.81037154,7,0.99285975,0
1,4,10,31.036488,2.2851672,6,0.93655379,0
1,4,11,259.99975,8.315083,5,0.88424741,0
1,4,12,40.617269,2.7842274,6,0.83593785,0
1,4,13,31.577974,3.2642352,3,0.79147008,0
1,4,14,34.711215,6.5673131,1,0.7506065,0
1,5,0,17.161176,2.8868039,2,1.1693095,0
1,5,1,141.70409,4.0498497,8,1.1640589,0
1,5,2,97.155648,3.304534,8,1.1487215,0
1,5,3,386.35233,11.215047,4,1.1244535,0
1,5,4,8.7052796,1.6336046,4,1.0929247,0
1,5,5,36.438882,4.2930797,4,1.0560325,0
1,5,6,65.159597,3.249544,6,1.0156409,0
1,5,7,144.90667,5.1294603,7,0.97339869,0
1,5,8,0.18367359,0.7579445,7,0.93064728,0
1,5,9,65.764757,3.3225799,6,0.88840197,0
1,5,10,12.334586,2.8604768,3,0.8473798,0
1,5,11,52.488706,4.3233579,3,0.80804964,0
1,5,12,19.488115,3.4267501,2,0.77068719,0
1,5,13,14.517335,6.9997713,2,0.73542566,0
1,6,0,31.109838,6.4788893,2,0.98054165,0
1,6,1,126.80822,5.8602552,4,0.97743931,0
1,6,2,94.147138,5.0361791,4,0.96830607,0
1,6,3,63.640735,4.095798,4,0.95363689,0
1,6,4,67.305637,4.2196824,4,0.93417667,0
1,6,5,102.93934,5.3904672,4,0.9108229,0
1,6,6,11.498454,2.1679019,4,0.88452523,0
1,6,7,50.113262,2.8248752,7,0.85620028,0
1,6,8,47.399675,3.3766906,5,0.82667175,0
1,6,9,2.7895282,1.3410687,5,0.79663727,0
1,6,10,-0.093597509,1.3426975,2,0.76665794,0
1,6,11,16.941996,4.808334,1,0.73716359,0
1,7,0,153.5071,14.747713,2,0.84367388,0
1,7,1,47.808716,3.8590131,4,0.84169532,0
1,7,2,14.392335,2.3669725,4,0.83584214,0
1,7,3,32.217475,3.5177332,4,0.82635244,0
1,7,4,57.133862,4.3813307,4,0.81359395,0
1,7,5,49.044604,4.0858087,4,0.7980266,0
1,7,7,14.744041,5.2485335,2,0.76051802,0
1,7,8,2.8360412,2.9654164,2,0.73959802,0
1,7,9,49.533987,5.5393163,2,0.71785575,0
2,0,0,4310.2739,123.58869,2,2.8978056,0
2,0,1,733.18041,12.783762,6,2.8205517,0
2,0,2,262.15109,5.3869971,6,2.6212758,0
2,0,3,73.593593,2.1385443,6,2.3662337,0
2,0,4,233.6339,4.0167392,9,2.1086965,0
2,0,5,715.62389,11.436011,8,1.8751267,0
2,0,6,115.28537,3.1262307,7,1.673311,0
2,0,7,7.3998401,0.86070976,8,1.5022518,0
2,0,8,117.8011,3.2739807,8,1.3579327,0
2,0,9,26.762992,1.5534765,8,1.2358661,0
2,0,10,51.410819,3.0481373,8,1.1320119,0
2,0,11,90.024975,3.5211782,7,1.0430063,0
2,0,12,26.237375,2.0996762,5,0.96613702,0
2,0,13,15.627179,3.9432987,4,0.89924274,0
2,0,14,18.504067,2.1344596,5,0.84060525,0
2,0,15,151.74362,8.3899938,3,0.78885444,0
2,1,0,4719.9509,77.706894,6,2.6068692,0
2,1,1,79.474105,1.3151344,14,2.5501973,0
2,1,2,827.4659,10.273976,12,2.4000658,0
2,1,3,240.61716,3.3976173,13,2.1997127,0
2,1,4,1403.6361,16.470018,13,1.9882834,0
2,1,5,20.041956,1.7368897,15,1.7889396,0
2,1,6,269.57276,3.9531041,14,1.6112046,0
2,1,7,188.479,3.0472162,17,1.4568266,0
2,1,8,9.8736471,0.69711119,16,1.3241037,0
2,1,9,71.65337,1.7175435,15,1.210201,0
2,1,10,60.49724,1.8677457,12,1.1121898,0
2,1,11,104.99195,2.8011856,11,1.0274404,0
2,1,12,106.09613,3.308768,9,0.95372601,0
2,1,13,109.71849,3.8987502,8,0.88920959,0
2,1,14,52.562894,3.9423579,7,0.83239233,0
2,1,15,21.418075,2.3134678,6,0.78205505,0
2,2,0,2.5173327,0.58253965,6,2.0790829,0
2,2,1,418.99416,6.1917654,10,2.0499905,0
2,2,2,1463.2746,20.357697,9,1.9695338,0
2,2,3,143.53056,3.1507621,8,1.854212,0
2,2,4,117.25908,2.7302771,9,1.7222251,0
2,2,5,6.8745896,0.88852682,12,1.5877761,0
2,2,6,348.75918,5.402383,12,1.4595764,0
2,2,7,142.37537,2.8554557,13,1.3418651,0
2,2,8,168.1954,3.4585232,12,1.2360177,0
2,2,9,137.05401,2.9524422,13,1.1418478,0
2,2,10,5.5948303,1.2784341,10,1.0584398,0
2,2,11,68.345612,3.6917033,5,0.98461696,0
2,2,12,67.343808,3.8760176,5,0.91917936,0
2,2,13,69.646969,4.0765952,5,0.86101227,0
2,2,14,24.511471,2.6378811,5,0.80912658,0
2,2,15,20.345077,4.8192049,1,0.76266554,0
2,3,0,-0.49945627,0.62439158,4,1.6403055,0
2,3,1,249.87209,5.6408948,6,1.6259049,0
2,3,2,323.21812,6.9123882,6,1.5848772,0
2,3,3,305.52934,5.5894752,9,1.5228991,0
2,3,4,91.490288,2.2540933,11,1.4471966,0
2,3,5,361.96229,7.3279493,7,1.3646441,0
2,3,6,714.4055,9.5334518,13,1.280658,0
2,3,7,11.274072,1.1803344,11,1.1989246,0
2,3,8,94.340877,2.5905491,12,1.1216271,0
2,3,9,60.324462,2.8850656,6,1.0498434,0
2,3,10,256.45981,6.3552503,8,0.9839245,0
2,3,11,36.216285,2.3047913,7,0.92378532,0
2,3,12,86.994416,4.2446741,7,0.86910333,0
2,3,13,13.573788,3.1694042,5,0.81944482,0
2,3,14,9.6317696,3.7266068,1,0.77434012,0
2,3,15,6.6278968,3.2083946,1,0.73332583,0
2,4,0,21.931132,2.4317035,4,1.3267298,0
2,4,1,289.27769,6.7936204,8,1.319075,0
2,4,2,6.1221862,0.91895843,8,1.296882,0
2,4,3,105.20501,3.1408196,8,1.2622595,0
2,4,4,224.78942,4.8634414,9,1.2181378,0
2,4,5,170.25599,4.018275,10,1.1676689,0
2,4,6,28.113772,1.4162646,10,1.1137446,0
2,4,7,179.04923,5.2618092,6,1.0587257,0
2,4,8,155.69565,6.7297583,4,1.0043623,0
2,4,9,6.6402236,1.194205,6,0.95184169,0
2,4,10,45.84992,3.0004718,5,0.90189234,0
2,4,11,21.192934,2.8865086,5,0.85490033,0
2,4,12,30.194422,2.5120597,6,0.81101228,0
2,4,13,-0.012129653,1.9732518,3,0.7702169,0
2,4,14,-0.30339622,2.3324164,1,0.73240507,0
2,5,0,331.79582,14.14045,2,1.1038501,0
2,5,1,173.44258,4.5663545,8,1.0994296,0
2,5,2,7.1369074,1.1063011,8,1.0864801,0
2,5,3,262.48506,8.6616303,4,1.0658786,0
2,5,4,83.32148,4.3323314,4,1.0389108,0
2,5,5,46.353858,3.5052277,4,1.0070687,0
2,5,6,4.9898859,1.3115413,6,0.97185826,0
2,5,7,12.37595,2.7682828,5,0.93465371,0
2,5,8,23.282438,3.3276258,5,0.89661404,0
2,5,9,22.697579,2.7185544,5,0.85865308,0
2,5,10,0.6699325,1.0683801,5,0.82144829,0
2,5,11,6.9478234,2.9177609,2,0.78547081,0
2,5,12,77.856945,9.8746443,1,0.75102398,0
2,5,13,-1.4204543,1.7967229,2,0.71828163,0
2,6,0,3.8413818,2.3923576,2,0.94097178,0
2,6,1,111.12622,5.397124,4,0.93822905,0
2,6,2,164.44338,7.4605542,4,0.93014257,0
2,6,3,5.1946735,1.5871798,4,0.91711762,0
2,6,4,5.6616827,1.5673827,4,0.89976891,0
2,6,5,40.271639,3.3613303,4,0.8788455,0
2,6,6,9.864866,1.6645077,6,0.85515139,0
2,6,7,12.997009,2.4712075,5,0.82947595,0
2,6,8,29.719825,2.8947911,5,0.80254234,0
2,6,9,6.1503058,3.4279621,1,0.77497644,0
2,6,10,82.845032,10.26399,1,0.74729386,0
2,6,11,2.1981808,3.0118944,1,0.71990056,0
2,7,0,16.560698,3.5437994,2,0.81807095,0
2,7,1,0.92976178,1.9927307,4,0.81626673,0
2,7,2,20.905084,2.8628516,4,0.81092487,0
2,7,3,18.169538,3.9303053,4,0.80225017,0
2,7,4,6.4525241,2.0853617,4,0.79056034,0
2,7,6,129.31104,13.463096,1,0.75978266,0
3,0,0,-1.3058262,1.024621,2,1.9318704,1
3,0,1,122.80989,2.9097624,7,1.9084637,0
3,0,2,204.94447,3.289587,10,1.8430396,0
3,0,3,281.97167,5.9122857,6,1.7475172,0
3,0,4,947.27575,16.137404,7,1.6357246,0
3,0,5,100.75902,2.2350984,10,1.519231,0
3,0,6,346.95325,6.7062366,8,1.4057976,0
3,0,7,24.464169,1.7556648,7,1.2997202,0
3,0,8,55.857082,2.2153255,8,1.2028455,0
3,0,9,159.58187,4.5215994,7,1.1155407,0
3,0,10,45.443841,2.111352,7,1.037385,0
3,0,11,65.908131,5.062428,6,0.96759966,0
3,0,12,118.32754,4.5866892,6,0.90528845,0
3,0,13,137.50582,6.298309,4,0.84956346,0
3,0,14,20.636838,3.031019,3,0.79960319,0
3,0,15,64.810053,8.8492224,1,0.75467461,0
3,1,0,47.206695,1.1551252,9,1.8380111,0
3,1,1,402.39193,5.1742382,13,1.8178183,0
3,1,2,298.16777,4.2182612,12,1.7610128,0
3,1,3,122.89038,2.2674282,12,1.677127,0
3,1,4,124.82684,2.7238078,14,1.577568,0
3,1,5,31.934337,1.0196757,15,1.4722959,0
3,1,6,162.02602,2.9565538,14,1.3683634,0
3,1,7,5.4440634,0.63502992,15,1.2699654,0
3,1,8,296.1213,5.7901134,17,1.1791445,0
3,1,9,29.876978,1.4127602,12,1.0965569,0
3,1,10,90.640159,2.5983776,12,1.0220657,0
3,1,11,22.662386,1.7915663,10,0.95513292,0
3,1,12,31.540742,2.0767688,8,0.89505387,0
3,1,13,40.281897,2.997076,7,0.84108781,0
3,1,14,109.80354,4.8867551,6,0.79252456,0
3,1,15,47.042088,7.6356024,1,0.74871478,0
3,2,0,172.94058,3.8074934,6,1.6217858,0
3,2,1,173.92397,2.4406912,15,1.6078634,0
3,2,2,511.00812,6.3817511,14,1.5681535,0
3,2,3,555.85385,7.5738764,12,1.5080436,0
3,2,4,78.709996,1.9746982,11,1.4344302,0
3,2,5,312.34488,4.7328111,13,1.3539244,0
3,2,6,101.33248,2.3162961,14,1.2717858,0
3,2,7,131.74815,2.9649013,12,1.1916356,0
3,2,8,130.66639,4.2588093,10,1.1156522,0
3,2,9,319.53219,6.8731853,8,1.044939,0
3,2,10,233.88884,6.7535665,6,0.97988371,0
3,2,11,19.287479,1.9884237,6,0.92043866,0
3,2,12,75.389839,4.0546883,5,0.86631475,0
3,2,13,33.315312,2.6500368,6,0.8171062,0
3,2,14,35.755336,3.069847,5,0.7723659,0
3,2,15,13.530466,4.2673295,1,0.73164833,0
3,3,0,271.99874,9.5980204,3,1.3860552,0
3,3,1,287.17485,4.8525493,10,1.3773339,0
3,3,2,14.798553,2.0080511,13,1.3521257,0
3,3,3,220.75288,4.3402192,13,1.3130225,0
3,3,4,17.180546,0.84102342,13,1.2635709,0
3,3,5,249.41372,4.0991986,13,1.2075026,0
3,3,6,2.8838651,0.71860401,13,1.14815,0
3,3,7,301.13109,4.9422348,13,1.0881473,0
3,3,8,45.167647,2.0037042,10,1.0293752,0
3,3,9,34.373681,2.1335549,7,0.97305091,0
3,3,10,12.267661,1.651281,6,0.9198729,0
3,3,11,71.608432,4.8289666,6,0.8701676,0
3,3,12,27.91657,3.0478434,6,0.82401183,0
3,3,13,15.00407,2.5691822,3,0.78132544,0
3,3,14,9.4482497,3.4125831,1,0.74193674,0
3,4,0,15.330429,1.5366303,4,1.1809979,0
3,4,1,267.99775,5.5975916,12,1.175589,0
3,4,2,28.017453,1.5884477,11,1.1597975,0
3,4,3,508.85302,8.3808881,10,1.134836,0
3,4,4,124.61642,3.3361421,11,1.1024508,0
3,4,5,102.31449,2.5546655,12,1.0646187,0
3,4,6,5.8849147,0.83245949,11,1.023272,0
3,4,7,55.221049,4.0945451,5,0.98011052,0
3,4,8,87.614622,4.4125799,4,0.93650782,0
3,4,9,30.230422,3.5157273,3,0.89349581,0
3,4,10,11.185605,1.9332358,5,0.85179667,0
3,4,11,20.589526,2.2660204,6,0.81187688,0
3,4,12,28.038626,3.0947997,4,0.77400558,0
3,5,0,22.811533,3.1263975,5,1.0155823,0
3,5,1,198.95044,5.2285177,7,1.0121365,0
3,5,2,35.012657,2.6244204,4,1.0020059,0
3,5,3,12.209154,2.2819918,4,0.98577722,0
3,5,4,3.7449661,1.3280366,4,0.96432702,0
3,5,5,63.601963,2.9839876,6,0.93870076,0
3,5,6,42.191441,3.3961622,4,0.90999024,0
3,5,7,60.012919,4.1216513,4,0.87923315,0
3,5,8,13.294089,2.1592944,4,0.84734575,0
3,5,9,14.308714,2.2317297,5,0.81508901,0
3,5,10,38.772458,3.585767,4,0.78306154,0
3,6,0,4.2730653,4.1152282,2,0.8844865,0
3,6,1,79.614831,4.558693,4,0.88220749,0
3,6,2,19.769128,2.3684647,4,0.87547471,0
3,6,3,167.59562,9.400054,4,0.86458802,0
3,6,4,39.329115,4.0710793,4,0.85000711,0
3,6,5,9.7829088,1.8220968,5,0.83230081,0
3,6,6,15.388929,2.1314098,5,0.8120919,0
3,6,7,46.031989,4.3260068,3,0.79000623,0
3,6,8,14.890615,2.9196199,3,0.76663272,0
3,7,0,13.381519,3.1750426,2,0.78013425,0
3,7,1,90.094785,6.5650126,4,0.7785691,0
3,7,2,24.365819,5.6007368,4,0.77392959,0
3,7,3,7.1149789,1.9545096,4,0.76637804,0
4,0,0,270.23391,8.2505538,3,1.4489028,0
4,0,1,42.886269,1.8651936,6,1.4389492,0
4,0,2,123.41749,3.4561687,6,1.4102759,0
4,0,3,9.2410263,0.64422751,9,1.3660743,0
4,0,4,289.28637,4.6134961,11,1.3106379,0
4,0,5,2.3128883,0.43175684,11,1.2483775,0
4,0,6,75.862646,2.1776787,9,1.1831169,0
4,0,7,29.696786,1.8613061,5,1.1177744,0
4,0,8,69.549791,3.3370356,5,1.0543482,0
4,0,9,12.41811,1.8758958,5,0.99406279,0
4,0,10,99.565593,5.5637803,5,0.93756334,0
4,0,11,84.687801,4.6116909,4,0.88509693,0
4,0,12,43.062273,5.8418202,4,0.83665549,0
4,0,13,7.608344,2.3182624,3,0.7920791,0
4,0,14,99.810463,8.0559999,2,0.75112592,0
4,1,0,432.55515,9.675242,5,1.4080191,0
4,1,1,320.22003,5.1575074,12,1.3988793,0
4,1,2,35.246622,0.94963213,14,1.3724922,0
4,1,3,27.557088,1.0564003,12,1.3316486,0
4,1,4,141.76998,2.6476167,13,1.2801445,0
4,1,5,102.07517,2.2045346,13,1.2219417,0
4,1,6,159.42528,3.1395441,12,1.1605415,0
4,1,7,90.161247,2.2208484,12,1.0986783,0
4,1,8,57.385279,1.7032673,14,1.0382768,0
4,1,9,1.5027443,0.59303433,12,0.98055936,0
4,1,10,18.486861,1.2643993,11,0.92620856,0
4,1,11,55.325427,2.4158506,9,0.87552487,0
4,1,12,132.45118,4.923154,8,0.82855669,0
4,1,13,19.699819,2.2297671,5,0.78519671,0
4,1,14,35.764579,3.3479709,4,0.74524912,0
4,2,0,66.586932,1.9904396,7,1.3034346,0
4,2,1,127.80692,2.6056091,14,1.2961739,0
4,2,2,164.42569,3.0989276,11,1.2750986,0
4,2,3,177.95405,3.5213792,11,1.242148,0
4,2,4,11.504664,0.68993015,14,1.2000329,0
4,2,5,64.022648,1.9210241,11,1.1516936,0
4,2,6,131.45695,3.2475746,10,1.0998563,0
4,2,7,107.70172,3.0942654,9,1.0467742,0
4,2,8,112.78304,3.5892864,9,0.99414171,0
4,2,9,45.677904,2.3452165,8,0.94312858,0
4,2,10,145.06815,5.2428454,6,0.89446982,0
4,2,11,36.354627,2.7180238,6,0.84857072,0
4,2,12,7.7247884,1.3452138,7,0.80560231,0
4,2,13,1.3374237,1.4987973,5,0.76557841,0
4,2,14,9.0819844,4.4166254,1,0.72841329,0
4,3,0,13.421831,2.8007118,6,1.1712761,0
4,3,1,137.82174,3.2433096,9,1.165999,0
4,3,2,29.363988,1.0723454,13,1.1505858,0
4,3,3,91.203575,2.0386539,13,1.126202,0
4,3,4,27.066744,1.65461,12,1.09453,0
4,3,5,302.70936,5.3279214,11,1.0574805,0
4,3,6,85.011867,2.4008723,11,1.0169288,0
4,3,7,63.160308,2.5672087,8,0.97453229,0
4,3,8,58.860738,3.0413629,6,0.93163783,0
4,3,9,70.926466,3.5812581,6,0.88926353,0
4,3,10,14.963386,1.8951416,6,0.84812734,0
4,3,11,30.008573,2.5507569,6,0.80869777,0
4,3,12,20.600351,3.0102868,3,0.77124945,0
4,3,13,62.491781,6.4038541,2,0.73591417,0
4,4,0,77.758277,2.6387086,7,1.0395414,0
4,4,1,122.61278,2.9789681,11,1.0358469,0
4,4,2,59.91386,1.7086661,13,1.0249952,0
4,4,3,102.9922,2.4756929,13,1.0076431,0
4,4,4,43.500095,1.7080038,11,0.9847669,0
4,4,5,83.680315,2.4798507,11,0.95752243,0
4,4,6,63.803049,2.3521959,10,0.92710599,0
4,4,7,34.123429,3.142024,5,0.89464233,0
4,4,8,5.2389221,2.0269037,5,0.86111253,0
4,4,9,4.1994849,1.4731885,5,0.82732028,0
4,4,10,23.00068,3.2170173,4,0.79388804,0
4,5,0,0.72826636,1.2690836,3,0.92137535,0
4,5,1,61.812414,4.0745561,5,0.91879997,0
4,5,2,31.173914,2.6906619,5,0.91120152,0
4,5,3,30.799371,1.8997822,7,0.89894585,0
4,5,4,19.630345,1.6353453,8,0.88258999,0
4,5,5,8.7890719,1.9513575,4,0.8628164,0
